Year,Month,Airline,Passengers_domestic,Passengers_international,Passengers_total,Flights_domestic,Flights_international,Flights_total,RPM_domestic,RPM_international,RPM_total,ASM_domestic,ASM_internationl,ASM_total,LF_domestic,LF_international,LF_total
2002,10,Delta,"7,079,446","570,431","7,649,877","60,691","4,097","64,788","5,904,082","1,997,636","7,901,718","8,332,093","2,766,881","11,098,974",70.86,72.2,71.19
2002,11,Delta,"6,612,595","502,136","7,114,731","57,316","3,822","61,138","5,471,145","1,674,572","7,145,717","7,919,522","2,505,819","10,425,340",69.08,66.83,68.54
2002,12,Delta,"7,220,998","531,834","7,752,832","58,234","3,851","62,085","6,167,157","1,714,144","7,881,300","8,127,073","2,405,204","10,532,277",75.88,71.27,74.83
2003,1,Delta,"6,256,572","501,708","6,758,280","59,177","3,822","62,999","5,401,199","1,605,825","7,007,024","8,152,502","2,363,170","10,515,672",66.25,67.95,66.63
2003,2,Delta,"5,870,602","406,908","6,277,510","51,166","3,168","54,334","4,985,764","1,256,870","6,242,634","7,127,819","1,886,963","9,014,783",69.95,66.61,69.25
2003,3,Delta,"6,962,353","491,280","7,453,633","57,904","3,619","61,523","5,926,067","1,556,456","7,482,523","8,052,021","2,202,747","10,254,768",73.6,70.66,72.97
2003,4,Delta,"6,145,813","448,587","6,594,400","51,740","3,284","55,024","5,269,285","1,373,104","6,642,389","7,380,656","1,954,703","9,335,359",71.39,70.25,71.15
2003,5,Delta,"6,330,578","482,973","6,813,551","52,123","3,320","55,443","5,455,220","1,557,675","7,012,895","7,302,481","2,022,747","9,325,228",74.7,77.01,75.2
2003,6,Delta,"6,819,044","584,526","7,403,570","53,524","3,694","57,218","6,001,880","1,930,992","7,932,872","7,415,623","2,280,425","9,696,048",80.94,84.68,81.82
2003,7,Delta,"7,186,864","631,965","7,818,829","55,080","3,885","58,965","6,428,528","2,080,484","8,509,012","7,680,255","2,448,048","10,128,303",83.7,84.99,84.01
2003,8,Delta,"6,997,110","640,776","7,637,886","55,822","4,049","59,871","6,340,679","2,106,144","8,446,823","7,824,917","2,536,182","10,361,099",81.03,83.04,81.52
2003,9,Delta,"5,728,266","532,769","6,261,035","53,629","3,900","57,529","5,021,464","1,889,135","6,910,598","7,600,587","2,470,132","10,070,719",66.07,76.48,68.62
2003,10,Delta,"6,657,727","536,982","7,194,709","56,374","3,832","60,206","5,804,640","1,815,454","7,620,094","7,992,370","2,362,573","10,354,943",72.63,76.84,73.59
2003,11,Delta,"6,222,544","501,685","6,724,229","54,121","3,619","57,740","5,473,482","1,646,562","7,120,044","7,759,608","2,186,187","9,945,794",70.54,75.32,71.59
2003,12,Delta,"6,494,295","546,344","7,040,639","55,768","3,854","59,622","5,894,158","1,772,599","7,666,757","7,971,250","2,254,221","10,225,471",73.94,78.63,74.98
2004,1,Delta,"5,811,244","505,444","6,316,688","55,623","3,758","59,381","5,289,995","1,615,081","6,905,076","7,911,945","2,182,615","10,094,561",66.86,74,68.4
2004,2,Delta,"5,945,233","435,337","6,380,570","53,479","3,424","56,903","5,257,576","1,353,987","6,611,563","7,535,675","2,012,109","9,547,784",69.77,67.29,69.25
2004,3,Delta,"6,939,267","554,436","7,493,703","58,574","3,692","62,266","6,270,417","1,789,501","8,059,918","8,324,290","2,203,703","10,527,993",75.33,81.2,76.56
2004,4,Delta,"6,697,058","602,306","7,299,364","57,034","4,047","61,081","6,064,842","1,971,982","8,036,824","8,170,122","2,508,628","10,678,750",74.23,78.61,75.26
2004,5,Delta,"6,756,571","636,447","7,393,018","58,122","4,346","62,468","6,109,087","2,165,943","8,275,030","8,319,449","2,786,296","11,105,744",73.43,77.74,74.51
2004,6,Delta,"7,227,106","727,669","7,954,775","57,390","4,437","61,827","6,745,778","2,464,548","9,210,325","8,277,422","2,844,865","11,122,288",81.5,86.63,82.81
2004,7,Delta,"7,465,888","770,449","8,236,337","58,209","4,619","62,828","7,128,122","2,538,790","9,666,912","8,467,006","2,949,557","11,416,563",84.19,86.07,84.67
2004,8,Delta,"6,990,016","735,386","7,725,402","58,254","4,597","62,851","6,720,924","2,415,836","9,136,760","8,463,957","2,939,300","11,403,257",79.41,82.19,80.12
2004,9,Delta,"5,592,484","618,841","6,211,325","52,800","4,326","57,126","5,266,401","2,183,442","7,449,843","7,645,424","2,799,630","10,445,055",68.88,77.99,71.32
2004,10,Delta,"6,719,259","613,865","7,333,124","57,833","4,227","62,060","6,127,967","2,067,964","8,195,930","8,325,119","2,647,622","10,972,741",73.61,78.11,74.69
2004,11,Delta,"6,534,768","558,698","7,093,466","55,673","3,909","59,582","5,960,217","1,814,007","7,774,224","8,100,939","2,407,358","10,508,297",73.57,75.35,73.98
