MonthYear,NumberOfFlights,AverageDelayDep,AverageDelayArr
2018 Aug,78692,17.139505921821733,18.446106338636575
2018 Sep,73452,12.847546697162647,14.172411915264513
2018 Oct,78092,12.784113609588816,13.95600061465943
2018 Nov,73935,11.383444917834007,12.410360451747389
2018 Dec,74551,10.92143633217529,11.905930168609219
2019 Jan,75354,10.954720386443087,11.847479894896582
2019 Feb,70032,13.586660383824459,14.934101553575422
2019 Mar,78222,13.815231009178909,14.015992943162288
2019 Apr,73918,15.470102004924124,15.963270110122195
2019 May,78648,19.954315430780685,20.868172108635836
2019 Jun,76068,21.107732555081842,21.890781931955953
2019 Jul,78894,18.605686110477468,18.429931300225775
2019 Aug,80557,17.279615675856633,17.620765420758296
2019 Sep,76423,11.319759758187947,11.40523140939227
2019 Oct,79957,12.442913065772373,12.838050452117626
2019 Nov,77075,10.445916315277472,10.473966915342148
2019 Dec,79094,12.460502692998078,12.594507800844644
2020 Jan,75472,10.921017065931805,10.849758850964957
2020 Feb,71577,12.025483046230251,11.991170348016418
2020 Mar,64953,7.831955413914808,8.177097285729719
2020 Apr,25763,4.615883243411016,4.099794278616711
2020 May,21853,3.642611998352662,3.1332540154669464
2020 Jun,26990,4.632938125231547,4.678584660985581
2020 Jul,45717,6.225277249163424,6.92731369074961
2020 Aug,46466,5.138122498170798,5.951319244178475
2020 Sep,38631,5.417177914110237,5.918692241981948
2020 Oct,40564,7.252588502119863,7.848584952174217
2020 Nov,38392,5.802172327568367,6.234736403417338
2020 Dec,38231,7.709319662054487,8.223535874028823
2021 Jan,37906,8.226138342215009,8.182213897536078
2021 Feb,32048,10.618010484273665,11.092299051422943
2021 Mar,47257,8.372156505914488,7.9188691622406795
2021 Apr,51894,8.375438393648723,8.200524145373082
2021 May,60162,13.102672783485156,12.76202586350127
2021 Jun,67764,22.236408712591547,21.447140074374598
2021 Jul,71382,21.33378162561973,20.29454204141124
2021 Aug,69514,20.44527721034547,19.60866875737191
2021 Sep,66685,11.34255079853051,10.723461048211602
2021 Oct,70525,15.76670684154574,14.7826586316908
2021 Nov,71455,12.56937932964806,11.214372682107562
2021 Dec,71239,12.512387877426423,11.850320751274232
2022 Jan,66370,12.049284315202744,11.549977399427661
2022 Feb,59403,15.950558052623414,16.748935238961366
2022 Mar,70302,12.839207988393289,13.369022218428617
2022 Apr,65629,15.821542305992878,15.998202014353142
2022 May,70283,16.715606903518463,16.925074342301908
2022 Jun,69981,25.434546519769892,25.612780611880154
2022 Jul,73903,23.653640582926826,23.894090902940057
