Geography,Timeframe,Week,Type,Average_Price,Total_Bulk_and_Bags_Units,4046_Units,4225_Units,4770_Units,TotalBagged_Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Albany,Weekly,1/9/23 0:00,Conventional,1.050995979,135146.28,31082.74,77685.99,24.72,26352.83,,,
Atlanta,Weekly,1/9/23 0:00,Conventional,0.902511753,843885.05,527420.98,207005.81,223.46,109234.8,,,
Baltimore/Washington,Weekly,1/9/23 0:00,Conventional,1.14505629,1240087.94,336378.42,439241.05,1972.4,462496.07,,,
Birmingham/Montgomery,Weekly,1/9/23 0:00,Conventional,0.831818796,416639.1,290756.04,36301.07,30.37,89551.62,,,
Boise,Weekly,1/9/23 0:00,Conventional,0.995045264,109901.2,59855.75,30973.49,189.03,18882.93,,,
Boston,Weekly,1/9/23 0:00,Conventional,1.283623036,640056.63,60474.83,417761.53,105.76,161714.51,,,
Buffalo/Rochester,Weekly,1/9/23 0:00,Conventional,0.995155392,246821.36,54663.24,59195.21,1119.57,131843.34,,,
Charlotte,Weekly,1/9/23 0:00,Conventional,1.073459358,422134.21,186773,58682.03,597.24,176081.94,,,
Chicago,Weekly,1/9/23 0:00,Conventional,0.980688346,1176622.07,667592.71,143566.88,77856.05,287606.43,,,
Cincinnati/Dayton,Weekly,1/9/23 0:00,Conventional,0.993615816,337332.5,105147.01,168259.35,4819.34,59106.8,,,
Columbus,Weekly,1/9/23 0:00,Conventional,0.957984852,284241.55,125403.11,89722.12,3658.03,65458.29,,,
Dallas/Ft. Worth,Weekly,1/9/23 0:00,Conventional,0.784883715,1486871.19,675101.42,294455.56,28197.13,489117.07,,,
Denver,Weekly,1/9/23 0:00,Conventional,0.906343699,903427.04,297722.44,329055.33,20959.55,255689.71,,,
Detroit,Weekly,1/9/23 0:00,Conventional,0.959934192,487206.59,172113.38,145739.68,30168.96,139184.57,,,
Grand Rapids,Weekly,1/9/23 0:00,Conventional,1.134390806,195185.52,49256.23,35894.35,25646.5,84388.45,,,
Harrisburg/Scranton,Weekly,1/9/23 0:00,Conventional,1.036735606,457122.72,199871.92,101908.85,13774.41,141567.54,,,
Hartford/Springfield,Weekly,1/9/23 0:00,Conventional,1.270471446,391832.45,64463.13,229992.51,438.52,96938.29,,,
Houston,Weekly,1/9/23 0:00,Conventional,0.796077436,1006099.11,460336.06,300017.66,6305.98,239439.41,,,
Indianapolis,Weekly,1/9/23 0:00,Conventional,0.898799713,289885.54,123687.29,87051.01,7045.88,72101.36,,,
Jacksonville,Weekly,1/9/23 0:00,Conventional,0.936242001,292093.72,220508.12,7225.69,16.09,64343.82,,,
Las Vegas,Weekly,1/9/23 0:00,Conventional,0.89285386,423264.49,99659.15,211409.14,2445.74,109750.47,,,
Los Angeles,Weekly,1/9/23 0:00,Conventional,1.116494155,3037533.84,1611172.32,98318.75,708758.08,619284.69,,,
Louisville,Weekly,1/9/23 0:00,Conventional,0.942480085,153285.95,52540.84,62273.13,1727.25,36744.73,,,
Miami/Ft. Lauderdale,Weekly,1/9/23 0:00,Conventional,0.908830735,1231339.88,867656.16,50243.11,1784.52,311656.1,,,
Nashville,Weekly,1/9/23 0:00,Conventional,0.864003245,367053.12,185950.88,80030.24,155.34,100916.67,,,
Northern New England,Weekly,1/9/23 0:00,Conventional,1.045846259,493380.96,110490.09,294677.08,74.53,88139.26,,,
New Orleans/Mobile,Weekly,1/9/23 0:00,Conventional,0.78122716,341956.74,195117.3,6291.11,1285.29,139263.05,,,
New York,Weekly,1/9/23 0:00,Conventional,1.213407074,2181386.58,418032.68,1098410.06,19531,645412.83,,,
Orlando,Weekly,1/9/23 0:00,Conventional,0.879259666,723695.83,459824.49,15014.78,17.01,248839.54,,,
Peoria/Springfield,Weekly,1/9/23 0:00,Conventional,0.825045463,165614.04,91580.9,20765.56,3767.08,49500.5,,,
Philadelphia,Weekly,1/9/23 0:00,Conventional,1.024089363,724457.08,225199.64,222166.71,11311.85,265778.88,,,
Phoenix/Tucson,Weekly,1/9/23 0:00,Conventional,0.814132903,1347491.36,489956.78,678862.92,3935.46,174736.21,,,
Pittsburgh,Weekly,1/9/23 0:00,Conventional,1.023187184,207241.16,118185.21,16704.87,88.88,72262.2,,,
Portland,Weekly,1/9/23 0:00,Conventional,1.097562519,610225.94,292123.31,205273.04,27446.59,85383,,,
Providence,Weekly,1/9/23 0:00,Conventional,1.240146924,106950.14,15582.96,67930.21,16.78,23420.18,,,
Raleigh/Greensboro,Weekly,1/9/23 0:00,Conventional,1.095050897,489093.61,207912.43,78600.33,702.89,201877.96,,,
Richmond/Norfolk,Weekly,1/9/23 0:00,Conventional,0.984210209,353256.94,150251.36,91723.92,305.92,110975.75,,,
Roanoke,Weekly,1/9/23 0:00,Conventional,0.902966028,201110.37,103926.92,38812.77,414.07,57956.61,,,
Sacramento,Weekly,1/9/23 0:00,Conventional,1.229094137,482044.93,264260.98,88909.91,6600.26,122273.78,,,
San Diego,Weekly,1/9/23 0:00,Conventional,1.148418269,564934.81,321216.06,34333.68,92066.24,117318.82,,,
San Francisco,Weekly,1/9/23 0:00,Conventional,1.094652687,923084.25,709958.73,77863.6,7863.41,127398.51,,,
Seattle,Weekly,1/9/23 0:00,Conventional,1.17489453,585952.62,248205.53,241942.88,19022.32,76781.89,,,
South Carolina,Weekly,1/9/23 0:00,Conventional,0.963077,596075.32,334267.65,86700.57,367.79,174739.31,,,
Spokane,Weekly,1/9/23 0:00,Conventional,0.972362718,93571.23,41947.25,32570.97,18.82,19034.19,,,
St. Louis,Weekly,1/9/23 0:00,Conventional,0.801042969,299135.05,187121.91,13614.81,11.55,98386.77,,,
Syracuse,Weekly,1/9/23 0:00,Conventional,0.971487264,111703.62,27951.48,38161.01,231.24,45359.9,,,
Tampa,Weekly,1/9/23 0:00,Conventional,0.859972106,780491.95,527906.11,14931.39,84.1,237570.34,,,
Toledo,Weekly,1/9/23 0:00,Conventional,0.9507135,151280.54,56377.63,50791.18,6498.66,37613.07,,,
West Tex/New Mexico,Weekly,1/9/23 0:00,Conventional,0.782065691,939840.47,440094.9,166840.59,4747.5,328157.48,,,
Wichita,Weekly,1/9/23 0:00,Conventional,0.776671737,126135.02,72058.91,20237.79,48.3,33790.03,,,
California,Weekly,1/9/23 0:00,Conventional,1.1310537,6365472.39,3783691,456178.55,900228.48,1225374.35,,,
Great Lakes,Weekly,1/9/23 0:00,Conventional,0.951686935,4867109.02,2152755.26,1204186.5,222516.71,1287650.57,,,
Midsouth,Weekly,1/9/23 0:00,Conventional,1.027265221,4731420.98,1945014.76,1197933.22,10486.78,1577986.22,,,
Northeast,Weekly,1/9/23 0:00,Conventional,1.159558183,5888492.77,1265993.12,2752904.08,29794.77,1839800.81,,,
Plains,Weekly,1/9/23 0:00,Conventional,0.896096014,2368782.5,1172374.04,401526.8,5547.57,789334.09,,,
South Central,Weekly,1/9/23 0:00,Conventional,0.790955705,5586728.41,2756034.04,933809.78,63524.76,1833359.82,,,
Southeast,Weekly,1/9/23 0:00,Conventional,0.891354344,6503057.01,4343662.17,508559.08,1231.15,1649604.61,,,
West,Weekly,1/9/23 0:00,Conventional,0.938073344,6942494.15,2775962.36,2696176.88,107502.14,1362852.77,,,
Total U.S.,Weekly,1/9/23 0:00,Conventional,0.97958966,43253557.23,20195486.74,10151274.89,1340832.36,11565963.23,,,
Albany,Weekly,1/9/23 0:00,Organic,1.568355793,4902.92,237.85,400.47,0.97,4263.63,,,
Atlanta,Weekly,1/9/23 0:00,Organic,1.089647615,123529.06,497.31,61597.92,0,61433.83,,,
Baltimore/Washington,Weekly,1/9/23 0:00,Organic,1.254170382,96431.24,1728.03,8249.03,12.5,86441.68,,,
Birmingham/Montgomery,Weekly,1/9/23 0:00,Organic,0.969623944,25436.16,198.7,2288.49,0,22948.97,,,
Boise,Weekly,1/9/23 0:00,Organic,1.677802314,11342.54,154.04,8867.6,0,2320.9,,,
Boston,Weekly,1/9/23 0:00,Organic,1.648653247,37111.83,320.74,2257.74,0,34533.35,,,
Buffalo/Rochester,Weekly,1/9/23 0:00,Organic,1.46246781,19161.81,712.61,58.74,0,18390.46,,,
Charlotte,Weekly,1/9/23 0:00,Organic,1.282089758,32204.68,382.81,2623.72,14.45,29183.7,,,
Chicago,Weekly,1/9/23 0:00,Organic,1.278846683,81086.55,2968.72,22762.75,0,55355.08,,,
Cincinnati/Dayton,Weekly,1/9/23 0:00,Organic,1.427826624,15152.48,138.52,5292.64,0,9721.32,,,
Columbus,Weekly,1/9/23 0:00,Organic,1.571255429,12859.96,2881.45,1537.02,0,8441.49,,,
Dallas/Ft. Worth,Weekly,1/9/23 0:00,Organic,1.175198887,58330.45,15542.27,972.92,0,41815.27,,,
Denver,Weekly,1/9/23 0:00,Organic,1.164084677,135097.11,116304.38,1148.5,2.11,17642.11,,,
Detroit,Weekly,1/9/23 0:00,Organic,1.301658564,24868.43,505.11,5175.26,0,19188.06,,,
Grand Rapids,Weekly,1/9/23 0:00,Organic,1.143756391,10330.24,193.95,657.36,0,9478.93,,,
Harrisburg/Scranton,Weekly,1/9/23 0:00,Organic,1.275093232,24024.03,454.07,450.37,0,23119.59,,,
Hartford/Springfield,Weekly,1/9/23 0:00,Organic,1.410586133,31167.41,479.9,4047.09,0,26640.42,,,
Houston,Weekly,1/9/23 0:00,Organic,1.027462566,34115.22,9377.86,365.05,0,24372.31,,,
Indianapolis,Weekly,1/9/23 0:00,Organic,1.36133723,11485.23,2530.61,998.44,0,7956.18,,,
Jacksonville,Weekly,1/9/23 0:00,Organic,0.799904026,34583.01,406.21,236.37,0,33940.43,,,
Las Vegas,Weekly,1/9/23 0:00,Organic,1.262702946,19118.04,5090.04,3566.56,0,10461.43,,,
