date,geography,average_price,total_volume
2015-01-04,California,1.24,142349.77
2015-01-11,California,1.1,158110.68
2015-01-18,California,1.24,195207.6
2015-01-25,California,1.3,121698.02
2015-02-01,California,1.11,196031.9
2015-02-08,California,1.35,132790.41
2015-02-15,California,1.52,116499.36
2015-02-22,California,1.41,136421.88
2015-03-01,California,1.15,250298.58
2015-03-08,California,1.48,108346.9
2015-03-15,California,1.52,94419.17
2015-03-22,California,1.3,112284.57
2015-03-29,California,1.53,111423.89
2015-04-05,California,1.52,120814.24
2015-04-12,California,1.5,119549.28
2015-04-19,California,1.52,123851.34
2015-04-26,California,1.5,128166.45
2015-05-03,California,1.48,119059.56
2015-05-10,California,1.4,160570.28
2015-05-17,California,1.49,133759.31
2015-05-24,California,1.5,135543.89
2015-05-31,California,1.5,119999.12
2015-06-07,California,1.67,114406.15
2015-06-14,California,1.68,116322.44
2015-06-21,California,1.69,116908.54
2015-06-28,California,1.67,116913.79
2015-07-05,California,1.67,135522.65
2015-07-12,California,1.8,115063.87
2015-07-19,California,1.89,103081.23
2015-07-26,California,1.93,98449.84
2015-08-02,California,1.99,89435.6
2015-08-09,California,2.03,86211.24
2015-08-16,California,1.96,90240.43
2015-08-23,California,1.85,107431.24
2015-08-30,California,1.98,90125.42
2015-09-06,California,1.99,88963.61
2015-09-13,California,1.97,95230.68
2015-09-20,California,1.92,94267.54
2015-09-27,California,1.85,80734.58
2015-10-04,California,2,81751.48
2015-10-11,California,2.07,70004.38
2015-10-18,California,2.01,73799.28
2015-10-25,California,1.64,103918.03
2015-11-01,California,1.6,104331.19
2015-11-08,California,1.66,101320.15
2015-11-15,California,1.59,97265.23
2015-11-22,California,1.6,89062.36
2015-11-29,California,1.75,83415.54
2015-12-06,California,1.48,91211.53
2015-12-13,California,1.39,98605.4
2015-12-20,California,1.35,99793.55
2015-12-27,California,1.45,98576.63
2016-01-03,California,1.43,122089.29
2016-01-10,California,1.33,138580.98
2016-01-17,California,1.45,125541.88
2016-01-24,California,1.36,154438.32
2016-01-31,California,1.43,155319.35
2016-02-07,California,1.38,156586.25
2016-02-14,California,1.47,158522.76
2016-02-21,California,1.43,161206.07
2016-02-28,California,1.28,214658.47
2016-03-06,California,1.32,198961.57
2016-03-13,California,1.41,199915.92
2016-03-20,California,1.46,172196.69
2016-03-27,California,1.42,184634.36
2016-04-03,California,1.39,206688.54
2016-04-10,California,1.4,193519.09
2016-04-17,California,1.39,187358.5
2016-04-24,California,1.39,208434.9
2016-05-01,California,1.24,225346.56
2016-05-08,California,1.25,256669.13
2016-05-15,California,1.5,202641.92
2016-05-22,California,1.37,211081.29
2016-05-29,California,1.49,203163.62
2016-06-05,California,1.55,182778.37
2016-06-12,California,1.5,192533.95
2016-06-19,California,1.57,196942.94
2016-06-26,California,1.51,204392.39
2016-07-03,California,1.58,209495.6
2016-07-10,California,1.51,213417.87
2016-07-17,California,1.59,192800.93
2016-07-24,California,1.56,185039.68
2016-07-31,California,1.56,188494.23
2016-08-07,California,1.48,210038.55
2016-08-14,California,1.47,208956.81
2016-08-21,California,1.53,176650.09
2016-08-28,California,1.63,175422.72
2016-09-04,California,1.65,178322.37
2016-09-11,California,1.55,187617.54
2016-09-18,California,1.84,139322.81
2016-09-25,California,1.95,123708
2016-10-02,California,1.91,138994.56
2016-10-09,California,1.98,128966.95
2016-10-16,California,2.02,95599.25
2016-10-23,California,2.58,75897.66
2016-10-30,California,2.49,96095.1
2016-11-06,California,2.37,119037.25
2016-11-13,California,2.13,122099.57
2016-11-20,California,2.1,107587.14
2016-11-27,California,2.04,111851.52
2016-12-04,California,1.89,116895.28
2016-12-11,California,1.64,128204.63
2016-12-18,California,1.61,122728.42
2016-12-25,California,1.53,132890.31
2017-01-01,California,1.46,164137.04
2017-01-08,California,1.5,177777.4
2017-01-15,California,1.66,142739.21
2017-01-22,California,1.53,136422.97
2017-01-29,California,1.44,165225.54
2017-02-05,California,1.36,169739.8
2017-02-12,California,1.54,151754.58
2017-02-19,California,1.5,183797.3
2017-02-26,California,1.34,215699.08
2017-03-05,California,1.45,220712.33
2017-03-12,California,1.53,210400.75
2017-03-19,California,1.57,209591.02
2017-03-26,California,1.7,194052.77
2017-04-02,California,1.64,191988.18
2017-04-09,California,1.63,186112.1
2017-04-16,California,1.67,194263.4
2017-04-23,California,1.6,197179.76
2017-04-30,California,1.61,199903.62
2017-05-07,California,1.59,211442.68
2017-05-14,California,1.76,167406.47
2017-05-21,California,1.78,183083.69
2017-05-28,California,1.76,197588.64
2017-06-04,California,1.64,206419.24
2017-06-11,California,1.79,179141.21
2017-06-18,California,1.78,181725.85
2017-06-25,California,1.66,167931.62
2017-07-02,California,1.73,163970.9
2017-07-09,California,1.62,169101.22
2017-07-16,California,2.14,127255.55
2017-07-23,California,2.17,128480.81
2017-07-30,California,2.14,113903.29
2017-08-06,California,2.18,118098.82
2017-08-13,California,2.21,139016.53
2017-08-20,California,2.37,140365.99
2017-08-27,California,2.54,121293.43
2017-09-03,California,2.09,142391.81
2017-09-10,California,2.2,140337.35
2017-09-17,California,2.18,152064.59
2017-09-24,California,2.05,138458.82
2017-10-01,California,2.08,132771.77
2017-10-08,California,2.17,124505.87
2017-10-15,California,2.1,115255.48
2017-10-22,California,2,132184.44
2017-10-29,California,2.01,129602.47
2017-11-05,California,1.76,145735.09
2017-11-12,California,1.99,122017.93
2017-11-19,California,1.98,122170.14
2017-11-26,California,2,115472.08
2017-12-03,California,1.81,125973.2
2017-12-10,California,1.89,125853.18
2017-12-17,California,1.75,126089.01
2017-12-24,California,1.82,138506.44
2017-12-31,California,1.71,160039.02
2018-01-07,California,1.95,156341.57
2018-01-14,California,1.61,216681.04
2018-01-21,California,1.69,181974.98
2018-01-28,California,1.87,170998.81
2018-02-04,California,1.56,188212.98
2018-02-11,California,1.85,168311.26
2018-02-18,California,1.97,167193.75
2018-02-25,California,1.82,179041.72
2018-03-04,California,1.57,239135.67
2018-03-11,California,1.58,236822.98
2018-03-18,California,1.75,202790.74
2018-03-25,California,1.7,190257.38
2018-04-01,California,1.75,221366.5
2018-04-08,California,1.75,194627.86
2018-04-15,California,1.65,225550.26
2018-04-22,California,1.6,218738.43
2018-04-29,California,1.67,218135.24
2018-05-06,California,1.66,179125.17
2018-05-13,California,1.77,183923.75
2018-05-20,California,1.58,236634.49
2018-05-27,California,1.61,250116.68
2018-06-03,California,1.69,222494.79
2018-06-10,California,1.71,207339.63
2018-06-17,California,1.7,233625.68
2018-06-24,California,1.84,215844.47
2018-07-01,California,1.87,214346.31
2018-07-08,California,1.83,241435.68
2018-07-15,California,1.82,204463.46
2018-07-22,California,1.82,203331.06
2018-07-29,California,1.82,210402.83
2018-08-05,California,1.69,236845.65
2018-08-12,California,1.73,217605.08
2018-08-19,California,1.8,206988.24
2018-08-26,California,2.01,194459.66
2018-09-02,California,2.03,197811.64
2018-09-09,California,1.94,192627.9
2018-09-16,California,1.96,198705.16
2018-09-23,California,1.82,204456.17
2018-09-30,California,1.79,219257.85
2018-10-07,California,1.67,229484
2018-10-14,California,1.71,199289.85
2018-10-21,California,1.68,214884.97
2018-10-28,California,1.68,217711.66
2018-11-04,California,1.68,207516.27
2018-11-11,California,1.76,195021.47
2018-11-18,California,1.88,227106.6
2018-11-25,California,1.86,175485.3
2018-12-02,California,2.19,137142.69
