id,Calls
1,28
2,NA
3,28
4,29
5,36
6,46
7,36
8,40
9,33
10,33
11,39
12,41
13,37
14,36
15,36
16,39
17,38
18,22
19,42
20,NA
21,30
22,30
23,44
24,41
25,35
26,34
27,36
28,43
29,NA
30,34
31,38
32,36
33,28
34,37
35,34
36,42
37,39
38,38
39,35
40,27
41,26
42,34
43,31
44,26
45,30
46,38
47,31
48,29
49,NA
50,26
51,35
52,NA
53,33
54,26
55,41
56,45
57,24
58,48
59,41
60,26
61,34
62,33
63,33
64,44
65,34
66,32
67,NA
68,28
69,40
70,44
71,NA
72,32
73,35
74,39
75,32
76,36
77,36
78,33
79,35
80,NA
81,30
82,25
83,40
84,37
85,29
86,27
87,40
88,31
89,33
90,36
91,37
92,32
93,35
94,26
95,29
96,34
97,30
98,38
99,37
100,38
101,30
102,40
103,30
104,34
105,25
106,26
107,32
108,NA
109,39
110,47
111,25
112,44
113,32
114,NA
115,28
116,43
117,36
118,36
119,28
120,40
121,39
122,28
123,34
124,35
125,31
126,35
127,37
128,34
129,40
130,33
131,44
132,33
133,34
134,46
135,32
136,27
137,43
138,37
139,37
140,34
141,39
142,NA
143,24
144,44
145,NA
146,35
147,34
148,27
149,29
150,22
151,38
152,34
153,41
154,38
155,33
156,40
157,32
158,34
159,31
160,23
161,37
162,30
163,NA
164,41
165,29
166,37
167,37
168,36
169,38
170,37
171,38
172,40
173,NA
174,40
175,31
176,37
177,23
178,39
179,35
180,29
181,39
182,35
183,40
184,35
185,34
186,38
187,29
188,36
189,44
190,34
191,33
192,26
193,40
194,30
195,32
196,39
197,23
198,28
199,34
200,33
201,25
202,NA
203,31
204,33
205,46
206,33
207,35
208,34
209,29
210,39
211,NA
212,38
213,39
214,30
215,NA
216,38
217,33
218,40
219,41
220,30
221,34
222,NA
223,29
224,33
225,NA
226,29
227,31
228,16
229,38
230,39
231,31
232,34
233,29
234,31
235,34
236,36
237,37
238,35
239,37
240,25
241,30
242,39
243,30
244,36
245,30
246,37
247,31
248,29
249,27
250,33
251,30
252,27
253,29
254,34
255,32
256,27
257,40
258,NA
259,41
260,31
261,36
262,34
263,49
264,39
265,28
266,36
267,40
268,26
269,22
270,NA
271,26
272,41
273,36
274,34
275,41
276,33
277,27
278,NA
279,30
280,33
281,26
282,33
283,NA
284,28
285,34
286,24
287,27
288,45
289,NA
290,32
291,34
292,31
293,41
294,25
295,33
296,31
297,27
298,NA
299,38
300,34
301,28
302,41
303,25
304,32
305,25
306,38
307,38
308,34
309,31
310,38
311,NA
312,39
313,31
314,34
315,33
316,NA
317,NA
318,41
319,33
320,35
321,44
322,36
323,41
324,34
325,27
326,43
327,39
328,20
329,52
330,29
331,35
332,32
333,36
334,29
335,41
336,NA
337,32
338,NA
339,31
340,39
341,NA
342,33
343,44
344,42
345,NA
346,36
347,27
348,40
349,36
350,39
351,32
352,NA
353,26
354,28
355,21
356,39
357,38
358,35
359,25
360,29
361,43
362,32
363,28
364,38
365,23
366,34
367,NA
368,28
369,42
370,30
371,36
372,36
373,32
374,29
375,37
376,35
377,29
378,NA
379,35
380,40
381,28
382,36
383,41
384,39
385,32
386,31
387,31
388,33
389,42
390,31
391,29
392,39
393,38
394,31
395,30
396,30
397,27
398,40
399,NA
400,30
401,NA
402,34
403,NA
404,24
405,35
406,32
407,NA
408,46
409,32
410,36
411,NA
412,29
413,33
414,29
415,44
416,29
417,35
418,38
419,43
420,NA
421,36
422,32
423,35
424,27
425,41
426,30
427,33
428,31
429,NA
430,35
431,38
432,38
433,34
434,33
435,33
436,28
437,31
438,44
439,40
440,NA
441,NA
442,35
443,27
444,34
445,33
446,35
447,NA
448,41
449,34
450,39
451,34
452,29
453,30
454,38
455,35
456,NA
457,28
458,33
459,36
460,35
461,34
462,34
463,41
464,29
465,43
466,35
467,44
468,39
469,38
470,30
471,NA
472,33
473,37
474,33
475,NA
476,25
477,33
478,37
479,41
480,30
481,32
482,37
483,39
484,31
485,31
486,36
487,47
488,29
489,27
490,36
491,31
492,32
493,38
494,31
495,39
496,28
497,33
498,27
499,40
500,39
501,31
502,34
503,31
504,NA
505,29
506,33
507,39
508,31
509,NA
510,30
511,28
512,24
513,34
514,39
515,36
516,30
517,44
518,35
519,37
520,29
521,41
522,38
523,NA
524,35
525,36
526,26
527,NA
528,37
529,30
530,35
531,24
532,37
533,33
534,33
535,27
536,36
537,33
538,43
539,32
540,25
541,23
542,39
543,43
544,27
545,37
546,NA
547,NA
548,40
549,44
550,37
551,26
552,33
553,33
554,29
555,38
556,21
557,39
558,NA
559,NA
560,27
561,29
562,37
563,NA
564,41
565,NA
566,33
567,32
568,28
569,30
570,39
571,44
572,28
573,31
574,NA
575,38
576,41
577,29
578,44
579,37
580,30
581,36
582,40
583,31
584,29
585,43
586,40
587,35
588,42
589,33
590,34
591,25
592,37
593,37
594,38
595,38
596,28
597,NA
598,31
599,32
600,31
601,39
602,34
603,28
604,38
605,25
606,35
607,34
608,41
609,36
610,37
611,40
612,37
613,39
614,41
615,42
616,33
617,22
618,38
619,47
620,31
621,35
622,38
623,26
624,36
625,29
626,28
627,30
628,31
629,30
630,27
631,40
632,31
633,NA
634,34
635,25
636,25
637,35
638,32
639,NA
640,39
641,NA
642,35
643,34
644,37
645,NA
646,NA
647,40
648,33
649,27
650,41
651,39
652,31
653,29
654,37
655,31
656,28
657,NA
658,31
659,26
660,33
661,24
662,NA
663,42
664,NA
665,44
666,28
667,35
668,22
669,44
670,26
671,33
672,36
673,39
674,44
675,41
676,32
677,37
678,42
679,30
