Country,Continent,City,Year,ProductPerCapita,UnemploymentRate,ImprovedWater,PhycisianDensityPer1000,InternetAccess,TrafficFatalitiesPer100k,LifeExpectancy,Under5MortalityRate,LiteracyRate,YearsOfSchooling,HomicideRate,Gini,PovertyRate,SlumHouseHolds,YouthUnemployment,CO2Emissions,VoterTurnout
Ghana,Africa,Accra,2015," 3,430.65 ", 7.85 , 94.50 , 0.10 , 17.30 , 22.20 , 61.10 , 78.40 , 68.98 , 6.76 , 1.32 , 0.43 , 2.50 , 36.10 , 8.70 , 0.37 , 80.10 
Kenya,Africa,Nairobi,2015," 8,208.96 ", 11.30 , 81.50 , 0.21 , 50.33 , 20.90 , 61.70 , 64.00 , 96.75 , 10.35 , 6.10 , 0.34 , 43.37 , 44.60 , 17.10 , 0.30 , 85.91 
Liberia,Africa,Monrovia,2015, 707.52 , 28.91 , 87.80 , 0.01 , 4.60 , 19.00 , 60.53 , 71.10 , 42.94 , 3.90 , 5.74 , 0.38 , 83.76 , 58.10 , 5.10 , 0.20 , 38.60 
Nigeria,Africa,Lagos,2015," 3,441.94 ", 27.60 , 92.10 , 0.40 , 38.00 , 33.70 , 51.00 , 30.77 , 89.00 , 5.20 , 20.00 , 0.64 , 62.03 , 44.10 , 13.60 , 0.49 , 53.68 
South Africa,Africa,Cape Town,2015," 15,770.36 ", 23.90 , 99.20 , 0.78 , 49.30 , 31.90 , 56.74 , 43.90 , 93.73 , 9.90 , 59.90 , 0.67 , 9.42 , 19.50 , 31.90 , 9.06 , 73.48 
South Africa,Africa,Johannesburg,2015," 17,433.48 ", 25.00 , 87.30 , 0.78 , 49.60 , 31.90 , 56.74 , 43.90 , 93.73 , 9.90 , 30.80 , 0.75 , 9.42 , 20.50 , 31.50 , 9.06 , 73.48 
Tanzania,Africa,Dar es Salaam,2015," 3,328.37 ", 5.70 , 88.50 , 0.03 , 4.40 , 22.70 , 61.50 , 94.00 , 96.10 , 6.90 , 12.80 , 0.11 , 12.98 , 44.90 , 6.60 , 0.15 , 42.84 
Uganda,Africa,Kampala,2015," 2,084.06 ", 11.40 , 97.30 , 0.12 , 16.20 , 28.90 , 59.19 , 65.00 , 92.00 , 5.40 , 12.00 , 0.34 , 37.78 , 31.80 , 5.40 , 0.11 , 59.29 
Zambia,Africa,Lusaka,2015," 3,734.22 ", 38.17 , 92.30 , 0.17 , 15.40 , 23.80 , 58.09 , 87.40 , 61.43 , 6.50 , 9.47 , 0.54 , 74.32 , 46.30 , 15.22 , 0.18 , 53.60 
Zimbabwe,Africa,Harare,2015," 2,466.02 ", 16.69 , 100.00 , 0.06 , 16.00 , 14.60 , 43.50 , 77.40 , 99.00 , 7.20 , 10.60 , 0.38 , 72.00 , 27.40 , 31.99 , 0.72 , 54.38 
