Date,new_cases
3/2/20,9
3/3/20,18
3/4/20,36
3/5/20,64
3/6/20,67
3/7/20,78
3/8/20,121
3/9/20,160
3/10/20,209
3/11/20,420
3/12/20,493
3/13/20,514
3/14/20,748
3/15/20,911
3/16/20,1231
3/17/20,2198
3/18/20,2346
3/19/20,3222
3/20/20,4899
3/21/20,6170
3/22/20,7432
3/23/20,9218
3/24/20,10843
3/25/20,10725
3/26/20,11351
3/27/20,14152
3/28/20,18761
3/29/20,20027
3/30/20,20620
3/31/20,26296
4/1/20,15794
4/2/20,23266
4/3/20,28333
4/4/20,29943
4/5/20,31805
4/6/20,32465
4/7/20,27457
4/8/20,28555
4/9/20,30169
4/10/20,33605
4/11/20,34924
4/12/20,31908
4/13/20,32182
4/14/20,27798
4/15/20,24909
4/16/20,25164
4/17/20,25339
4/18/20,31765
4/19/20,29743
4/20/20,27590
4/21/20,27884
4/22/20,25790
4/23/20,25441
4/24/20,31414
4/25/20,32961
4/26/20,34099
4/27/20,33367
4/28/20,27231
4/29/20,24190
4/30/20,23474
5/1/20,27180
5/2/20,32405
5/3/20,30214
5/4/20,28391
5/5/20,27840
5/6/20,21167
5/7/20,23190
5/8/20,24271
5/9/20,30603
5/10/20,28021
5/11/20,25965
5/12/20,21648
5/13/20,19278
5/14/20,24245
5/15/20,17733
5/16/20,34433
5/17/20,27109
5/18/20,25301
5/19/20,19220
5/20/20,24682
5/21/20,20670
5/22/20,24434
5/23/20,25510
5/24/20,26007
5/25/20,20964
5/26/20,21764
5/27/20,19138
5/28/20,16941
5/29/20,20344
5/30/20,24183
5/31/20,23535
6/1/20,23709
6/2/20,21202
6/3/20,17323
6/4/20,20720
6/5/20,21069
6/6/20,20687
6/7/20,24403
6/8/20,23564
6/9/20,17777
6/10/20,18032
6/11/20,18545
6/12/20,22451
6/13/20,22661
6/14/20,28735
6/15/20,25995
6/16/20,20608
6/17/20,20583
6/18/20,24915
6/19/20,25550
6/20/20,28741
6/21/20,33270
6/22/20,33339
6/23/20,27325
6/24/20,28663
6/25/20,37913
6/26/20,37363
6/27/20,46975
6/28/20,46524
6/29/20,43569
6/30/20,37767
7/1/20,38560
7/2/20,46529
7/3/20,59676
7/4/20,55405
7/5/20,60219
7/6/20,49511
7/7/20,40378
7/8/20,51142
7/9/20,55915
7/10/20,65354
7/11/20,62213
7/12/20,68395
7/13/20,67797
7/14/20,59493
7/15/20,56432
7/16/20,64812
7/17/20,72057
7/18/20,69806
7/19/20,76822
7/20/20,67796
7/21/20,59641
7/22/20,58908
7/23/20,63086
7/24/20,72361
7/25/20,73774
7/26/20,73653
7/27/20,60898
7/28/20,58801
7/29/20,53136
7/30/20,58924
7/31/20,65017
8/1/20,66548
8/2/20,68215
8/3/20,56400
8/4/20,51138
8/5/20,45010
8/6/20,51730
8/7/20,55775
8/8/20,54716
8/9/20,61736
8/10/20,51693
8/11/20,46003
8/12/20,43585
8/13/20,58952
8/14/20,55083
8/15/20,51736
8/16/20,56036
8/17/20,51104
8/18/20,41247
8/19/20,41680
8/20/20,41525
8/21/20,46829
8/22/20,46546
8/23/20,47457
8/24/20,41390
8/25/20,36827
8/26/20,35916
8/27/20,40451
8/28/20,46935
8/29/20,46945
8/30/20,46661
8/31/20,40673
9/1/20,36516
9/2/20,39153
9/3/20,38704
9/4/20,44331
9/5/20,45356
9/6/20,50788
9/7/20,41184
9/8/20,33977
9/9/20,24588
9/10/20,28051
9/11/20,35282
9/12/20,38797
9/13/20,44411
9/14/20,39815
9/15/20,32644
9/16/20,34617
9/17/20,36781
9/18/20,44319
9/19/20,44629
9/20/20,47867
9/21/20,42021
9/22/20,34219
9/23/20,41555
9/24/20,49298
9/25/20,42174
9/26/20,46083
9/27/20,49683
9/28/20,41679
9/29/20,35363
9/30/20,38822
