ID,Crash Type,Light Condition
1,Not Head-On,Not Daylight
2,Not Head-On,Daylight
3,Not Head-On,Not Daylight
4,Not Head-On,Not Daylight
5,Not Head-On,Daylight
6,Not Head-On,Daylight
7,Not Head-On,Daylight
8,Not Head-On,Daylight
9,Not Head-On,Not Daylight
10,Not Head-On,Not Daylight
11,Not Head-On,Not Daylight
12,Not Head-On,Daylight
13,Not Head-On,Daylight
14,Not Head-On,Not Daylight
15,Not Head-On,Not Daylight
16,Not Head-On,Daylight
17,Not Head-On,Daylight
18,Not Head-On,Daylight
19,Not Head-On,Daylight
20,Not Head-On,Daylight
21,Not Head-On,Not Daylight
22,Not Head-On,Daylight
23,Not Head-On,Daylight
24,Not Head-On,Daylight
25,Not Head-On,Daylight
26,Not Head-On,Not Daylight
27,Not Head-On,Daylight
28,Not Head-On,Daylight
29,Not Head-On,Daylight
30,Not Head-On,Not Daylight
31,Not Head-On,Daylight
32,Not Head-On,Daylight
33,Not Head-On,Not Daylight
34,Not Head-On,Daylight
35,Not Head-On,Not Daylight
36,Not Head-On,Daylight
37,Not Head-On,Daylight
38,Not Head-On,Daylight
39,Not Head-On,Daylight
40,Not Head-On,Daylight
41,Not Head-On,Not Daylight
42,Not Head-On,Daylight
43,Not Head-On,Not Daylight
44,Not Head-On,Daylight
45,Not Head-On,Not Daylight
46,Not Head-On,Daylight
47,Not Head-On,Not Daylight
48,Not Head-On,Daylight
49,Not Head-On,Not Daylight
50,Not Head-On,Daylight
51,Not Head-On,Not Daylight
52,Not Head-On,Not Daylight
53,Not Head-On,Daylight
54,Not Head-On,Daylight
55,Not Head-On,Daylight
56,Not Head-On,Daylight
57,Not Head-On,Not Daylight
58,Not Head-On,Daylight
59,Not Head-On,Daylight
60,Not Head-On,Daylight
61,Not Head-On,Daylight
62,Not Head-On,Daylight
63,Not Head-On,Daylight
64,Not Head-On,Daylight
65,Not Head-On,Daylight
66,Not Head-On,Daylight
67,Head-on,Daylight
68,Not Head-On,Daylight
69,Not Head-On,Daylight
70,Not Head-On,Daylight
71,Head-on,Daylight
72,Not Head-On,Not Daylight
73,Not Head-On,Not Daylight
74,Not Head-On,Daylight
75,Not Head-On,Not Daylight
76,Not Head-On,Daylight
77,Not Head-On,Not Daylight
78,Not Head-On,Not Daylight
79,Head-on,Not Daylight
80,Not Head-On,Daylight
81,Not Head-On,Daylight
82,Not Head-On,Daylight
83,Not Head-On,Daylight
84,Not Head-On,Not Daylight
85,Not Head-On,Not Daylight
86,Not Head-On,Daylight
87,Not Head-On,Daylight
88,Not Head-On,Daylight
89,Not Head-On,Daylight
90,Not Head-On,Not Daylight
91,Not Head-On,Daylight
92,Not Head-On,Daylight
93,Not Head-On,Daylight
94,Not Head-On,Not Daylight
95,Not Head-On,Daylight
96,Not Head-On,Daylight
97,Not Head-On,Daylight
98,Not Head-On,Daylight
99,Not Head-On,Daylight
100,Not Head-On,Not Daylight
101,Not Head-On,Daylight
102,Head-on,Not Daylight
103,Not Head-On,Daylight
104,Not Head-On,Not Daylight
105,Not Head-On,Daylight
106,Not Head-On,Daylight
107,Not Head-On,Daylight
108,Not Head-On,Not Daylight
109,Not Head-On,Not Daylight
110,Not Head-On,Daylight
111,Not Head-On,Daylight
112,Not Head-On,Daylight
113,Not Head-On,Daylight
114,Not Head-On,Daylight
115,Not Head-On,Not Daylight
116,Not Head-On,Daylight
117,Not Head-On,Daylight
118,Not Head-On,Daylight
119,Not Head-On,Not Daylight
120,Not Head-On,Daylight
121,Not Head-On,Daylight
122,Not Head-On,Daylight
123,Not Head-On,Not Daylight
124,Not Head-On,Daylight
125,Not Head-On,Daylight
126,Not Head-On,Daylight
127,Not Head-On,Daylight
128,Not Head-On,Daylight
129,Not Head-On,Not Daylight
130,Not Head-On,Daylight
131,Not Head-On,Daylight
132,Not Head-On,Daylight
133,Not Head-On,Daylight
134,Not Head-On,Daylight
135,Not Head-On,Daylight
136,Not Head-On,Daylight
137,Not Head-On,Not Daylight
138,Not Head-On,Not Daylight
139,Not Head-On,Daylight
140,Not Head-On,Daylight
141,Not Head-On,Daylight
142,Not Head-On,Not Daylight
143,Not Head-On,Daylight
144,Not Head-On,Daylight
145,Not Head-On,Not Daylight
146,Not Head-On,Daylight
147,Not Head-On,Not Daylight
148,Not Head-On,Daylight
149,Not Head-On,Not Daylight
150,Not Head-On,Not Daylight
151,Not Head-On,Not Daylight
152,Not Head-On,Not Daylight
153,Not Head-On,Daylight
154,Head-on,Not Daylight
155,Not Head-On,Not Daylight
156,Not Head-On,Not Daylight
157,Not Head-On,Not Daylight
158,Not Head-On,Daylight
159,Not Head-On,Not Daylight
160,Not Head-On,Daylight
161,Not Head-On,Daylight
162,Not Head-On,Not Daylight
163,Not Head-On,Daylight
164,Not Head-On,Daylight
165,Not Head-On,Daylight
166,Not Head-On,Not Daylight
167,Head-on,Not Daylight
168,Not Head-On,Daylight
169,Not Head-On,Not Daylight
170,Not Head-On,Not Daylight
171,Not Head-On,Daylight
172,Not Head-On,Not Daylight
173,Not Head-On,Daylight
174,Not Head-On,Not Daylight
175,Not Head-On,Daylight
176,Not Head-On,Daylight
177,Not Head-On,Daylight
178,Head-on,Daylight
179,Not Head-On,Daylight
180,Not Head-On,Daylight
181,Not Head-On,Daylight
182,Not Head-On,Daylight
183,Not Head-On,Daylight
184,Not Head-On,Daylight
185,Not Head-On,Daylight
186,Not Head-On,Daylight
187,Not Head-On,Daylight
188,Not Head-On,Daylight
189,Head-on,Not Daylight
190,Head-on,Daylight
191,Not Head-On,Daylight
192,Not Head-On,Not Daylight
193,Not Head-On,Daylight
194,Not Head-On,Daylight
195,Not Head-On,Daylight
196,Not Head-On,Not Daylight
197,Not Head-On,Not Daylight
198,Not Head-On,Daylight
199,Not Head-On,Daylight
200,Not Head-On,Daylight
201,Not Head-On,Not Daylight
202,Not Head-On,Not Daylight
203,Not Head-On,Not Daylight
204,Not Head-On,Daylight
205,Not Head-On,Daylight
206,Not Head-On,Daylight
207,Not Head-On,Not Daylight
208,Not Head-On,Not Daylight
209,Not Head-On,Daylight
210,Not Head-On,Daylight
211,Not Head-On,Daylight
212,Not Head-On,Daylight
213,Not Head-On,Not Daylight
214,Not Head-On,Daylight
215,Not Head-On,Not Daylight
216,Not Head-On,Daylight
217,Not Head-On,Daylight
218,Head-on,Not Daylight
219,Not Head-On,Daylight
220,Not Head-On,Not Daylight
221,Not Head-On,Daylight
222,Not Head-On,Daylight
223,Not Head-On,Daylight
224,Not Head-On,Daylight
225,Not Head-On,Not Daylight
226,Not Head-On,Not Daylight
227,Not Head-On,Not Daylight
228,Not Head-On,Daylight
229,Not Head-On,Daylight
230,Not Head-On,Daylight
231,Not Head-On,Daylight
232,Not Head-On,Daylight
233,Not Head-On,Daylight
234,Not Head-On,Daylight
235,Not Head-On,Daylight
236,Not Head-On,Daylight
237,Not Head-On,Daylight
238,Not Head-On,Daylight
239,Not Head-On,Not Daylight
240,Not Head-On,Daylight
241,Not Head-On,Not Daylight
242,Not Head-On,Daylight
243,Not Head-On,Not Daylight
244,Not Head-On,Daylight
245,Not Head-On,Daylight
246,Head-on,Daylight
247,Head-on,Not Daylight
248,Not Head-On,Daylight
249,Not Head-On,Daylight
250,Not Head-On,Not Daylight
251,Not Head-On,Daylight
252,Not Head-On,Not Daylight
253,Not Head-On,Daylight
254,Not Head-On,Daylight
255,Not Head-On,Daylight
256,Not Head-On,Not Daylight
257,Not Head-On,Daylight
258,Not Head-On,Not Daylight
259,Not Head-On,Not Daylight
260,Not Head-On,Daylight
261,Not Head-On,Not Daylight
262,Not Head-On,Daylight
263,Not Head-On,Not Daylight
264,Not Head-On,Not Daylight
265,Not Head-On,Daylight
266,Not Head-On,Daylight
267,Head-on,Daylight
268,Not Head-On,Not Daylight
269,Not Head-On,Not Daylight
270,Not Head-On,Daylight
271,Not Head-On,Daylight
272,Not Head-On,Daylight
273,Not Head-On,Daylight
274,Not Head-On,Not Daylight
275,Not Head-On,Daylight
276,Not Head-On,Daylight
277,Not Head-On,Not Daylight
278,Not Head-On,Daylight
279,Not Head-On,Not Daylight
280,Head-on,Not Daylight
281,Not Head-On,Not Daylight
282,Not Head-On,Not Daylight
283,Not Head-On,Daylight
284,Not Head-On,Daylight
285,Not Head-On,Daylight
286,Not Head-On,Daylight
287,Not Head-On,Not Daylight
288,Not Head-On,Daylight
289,Not Head-On,Daylight
290,Not Head-On,Daylight
291,Not Head-On,Daylight
292,Not Head-On,Daylight
293,Not Head-On,Not Daylight
294,Not Head-On,Daylight
295,Not Head-On,Not Daylight
296,Not Head-On,Daylight
297,Not Head-On,Daylight
298,Not Head-On,Daylight
299,Not Head-On,Daylight
300,Not Head-On,Not Daylight
301,Not Head-On,Daylight
302,Not Head-On,Daylight
303,Not Head-On,Daylight
304,Not Head-On,Daylight
305,Not Head-On,Daylight
306,Not Head-On,Daylight
307,Not Head-On,Daylight
308,Not Head-On,Daylight
309,Not Head-On,Daylight
310,Head-on,Daylight
311,Not Head-On,Not Daylight
312,Not Head-On,Daylight
313,Not Head-On,Not Daylight
314,Not Head-On,Not Daylight
315,Not Head-On,Daylight
316,Not Head-On,Not Daylight
317,Not Head-On,Daylight
318,Not Head-On,Not Daylight
319,Head-on,Daylight
320,Not Head-On,Not Daylight
321,Not Head-On,Daylight
322,Not Head-On,Daylight
323,Not Head-On,Not Daylight
324,Not Head-On,Not Daylight
325,Not Head-On,Daylight
326,Not Head-On,Not Daylight
327,Head-on,Not Daylight
328,Not Head-On,Daylight
329,Not Head-On,Daylight
330,Not Head-On,Daylight
331,Not Head-On,Daylight
332,Not Head-On,Not Daylight
333,Not Head-On,Daylight
334,Not Head-On,Not Daylight
335,Not Head-On,Daylight
336,Not Head-On,Daylight
337,Not Head-On,Not Daylight
338,Not Head-On,Not Daylight
339,Not Head-On,Daylight
340,Not Head-On,Daylight
341,Not Head-On,Daylight
342,Not Head-On,Not Daylight
343,Not Head-On,Daylight
344,Head-on,Daylight
345,Not Head-On,Daylight
346,Not Head-On,Daylight
347,Not Head-On,Daylight
348,Head-on,Daylight
349,Not Head-On,Daylight
350,Not Head-On,Daylight
351,Not Head-On,Daylight
352,Not Head-On,Daylight
353,Not Head-On,Daylight
