MonthYear,NumberOfFlights,AverageDelayDep,AverageDelayArr
2018 Jan,69600,12.383821839080785,11.389698275863232
2018 Apr,78607,8.563601206000229,8.80683654127395
2018 Sep,77829,7.262871166273537,7.359904405812232
2018 Oct,81950,6.114887126296997,6.1242220866387465
2018 Nov,76007,10.152393858462027,10.444682726589845
2018 Dec,74847,6.956337595361049,6.499218405546971
2019 Jan,73403,10.004087026415409,9.901339182321447
2019 Feb,67117,13.75045070548507,14.142780517602134
2019 Mar,84065,8.648117528102546,8.222887051687447
2019 Apr,81643,11.49751968937948,11.33934323824523
2019 May,85357,9.856766287474692,9.583689679816338
2019 Jun,86845,14.535459727095045,14.553618515746752
2019 Jul,90099,16.472158403534777,16.16221045738495
2019 Aug,90838,12.611528215064068,12.586615733503253
2019 Sep,81154,7.336545333562947,7.60260738842259
2019 Oct,86179,7.565358149896701,8.102287100105999
2019 Nov,79920,6.714064064063772,6.918118118117217
2019 Dec,81405,10.13973343160789,10.005196241017204
2020 Jan,79928,6.956348213392674,7.048168351518236
2020 Feb,75338,9.584233720035886,9.804520958878815
2020 Mar,66539,5.721591848389872,5.739265693804264
2020 Apr,19092,4.633092394720078,5.556149172428521
2020 May,16915,3.0906887378066217,3.4887969258054876
2020 Jun,21826,3.143406945844297,3.608357005406419
2020 Jul,36644,5.195912018338797,6.301304442746488
2020 Aug,47222,4.730231671678449,5.5183177332597575
2020 Sep,44202,3.1573005746346263,3.412130672820229
2020 Oct,46657,3.6554857791970004,4.243286109265511
2020 Nov,48392,3.7170400066122995,5.123615473631695
2020 Dec,48763,6.1467506100935605,8.37618686299052
2021 Jan,48100,6.091081081080298,6.78261954262077
2021 Feb,42812,6.518966644867134,7.6328365878725295
2021 Mar,55650,5.086558849955125,5.320557053010208
2021 Apr,55072,7.294650639163911,7.150784427659246
2021 May,61008,7.651799763964332,7.04435483870825
2021 Jun,65708,9.91797041456183,9.10776465574969
2021 Jul,69692,11.839364632956062,10.884807438442895
2021 Aug,70360,10.505144968732987,9.743533257532302
2021 Sep,67205,7.53048136299353,7.318339409270041
2021 Oct,70397,8.213247723624836,8.06125261019654
2021 Nov,70289,7.164406948455533,6.891135170510507
2021 Dec,66755,14.82907647367125,14.437060894316051
2022 Jan,66573,10.77979060580186,10.368738076997635
2022 Feb,61803,10.236671358995768,9.799669918936337
2022 Mar,74788,14.370407017168525,14.085949617585845
2022 Apr,72109,14.26672121371811,13.880652900469949
2022 May,73891,13.669377867399984,12.862324234344829
2022 Jun,73744,16.57157192449544,15.262136580603254
2022 Jul,77802,15.35583918151153,14.638132695817312
