id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,grinning face,😀,0.158667363,0.555370391,0.114185848,0.192243574,0.561992828,0.186117495,0.287941551,0.596867676,0.356135427,0.976363185
2,grinning face with big eyes,😃,0.172995507,0.581902434,0.136241151,0.219991127,0.603854992,0.197681023,0.304386426,0.596116508,0.385544157,0.991735067
3,grinning face with smiling eyes,😄,0.175037767,0.517999424,0.139511325,0.18960909,0.510112519,0.180671271,0.246537795,0.528314041,0.386087014,0.885427666
4,beaming face with smiling eyes,😁,0.174786795,0.5434456,0.122323776,0.201830144,0.539316566,0.182929269,0.280578106,0.551691812,0.371229585,0.914501401
5,grinning squinting face,😆,0.230904211,0.461457307,0.162243259,0.235540337,0.439997894,0.21251874,0.248078267,0.486059002,0.460755819,0.799627218
6,grinning face with sweat,😅,0.224871123,0.461468086,0.170935432,0.243151073,0.395259542,0.229896221,0.230984296,0.464125864,0.466482518,0.76491964
7,rolling on the floor laughing,🤣,0.259525151,0.344330989,0.20563156,0.240233217,0.322127497,0.22797909,0.179494157,0.387366416,0.50967977,0.63570576
8,face with tears of joy,😂,0.252459548,0.327742503,0.200670866,0.231262475,0.29919331,0.220489425,0.16714428,0.377813758,0.496456611,0.609335518
9,slightly smiling face,🙂,0.195260851,0.522894195,0.138986312,0.21641421,0.499017052,0.220721375,0.25841647,0.559374984,0.41713258,0.907095672
10,upside-down face,🙃,0.265742244,0.432407972,0.204276824,0.266274446,0.346434296,0.285991522,0.197486974,0.441011085,0.572831344,0.722410957
11,winking face,😉,0.193818483,0.559042997,0.128873909,0.218769673,0.53138659,0.196437817,0.265885939,0.584500725,0.422605368,0.977315572
12,smiling face with smiling eyes,😊,0.135068193,0.662413242,0.104496406,0.166619815,0.728064063,0.173470038,0.337407175,0.683651775,0.305720625,1.130187552
13,smiling face with halo,😇,0.185314316,0.702838245,0.164145728,0.252506876,0.765177788,0.187226008,0.291811849,0.736083884,0.387837241,1.163180218
14,smiling face with hearts,🥰,0.137743154,0.575139324,0.100277199,0.144561238,0.751309963,0.143334034,0.268842135,0.568213352,0.293645112,1.077156135
15,smiling face with heart-eyes,😍,0.126128077,0.494106204,0.107107962,0.1417063,0.656254907,0.132339728,0.241324481,0.471968169,0.265719352,0.964214776
16,star-struck,🤩,0.145455983,0.606002505,0.099388559,0.149560721,0.595415495,0.146886075,0.268175859,0.531682046,0.293617632,0.967157193
17,face blowing a kiss,😘,0.144884852,0.642861855,0.095632437,0.150257884,0.887367645,0.156631151,0.335178224,0.638051962,0.293066813,1.210196481
18,kissing face,😗,0.185029871,0.395335478,0.134459253,0.165977329,0.391831342,0.208907782,0.175570619,0.397575827,0.379787071,0.681066177
19,smiling face,☺️,0.153339376,0.617949167,0.113527519,0.164760535,0.681270012,0.175224672,0.298590288,0.614335563,0.334125014,1.049975024
20,kissing face with closed eyes,😚,0.166865342,0.443391989,0.100659654,0.172219211,0.528134658,0.157971673,0.227473467,0.42721141,0.285376359,0.769743267
21,kissing face with smiling eyes,😙,0.164166578,0.455732638,0.077709642,0.170921608,0.541669328,0.163053692,0.235737606,0.409205792,0.354652756,0.853731857
22,face savoring food,😋,0.156516404,0.458898832,0.133425167,0.168950429,0.526577117,0.149730373,0.231039757,0.448384827,0.348662284,0.844771408
23,face with tongue,😛,0.220974575,0.383653716,0.149761733,0.189472463,0.395221139,0.182757056,0.179888887,0.387469372,0.44225029,0.676750427
24,winking face with tongue,😜,0.200995479,0.464685646,0.139697518,0.218470969,0.439766753,0.206872317,0.212947954,0.457199776,0.437982983,0.785553092
25,zany face,🤪,0.243815235,0.426077614,0.173817382,0.246695268,0.387680103,0.223609419,0.205316271,0.404131224,0.47893744,0.684616098
26,squinting face with tongue,😝,0.232437907,0.462020304,0.191110274,0.249536364,0.431606631,0.218906825,0.226611356,0.457044492,0.485088949,0.746642038
27,money-mouth face,🤑,0.349063009,0.682068169,0.174237281,0.24026797,0.583446496,0.213652001,0.352593699,0.590886973,0.44587973,1.021670741
28,smiling face with open hands,🤗,0.138533939,0.723017223,0.100129949,0.172583002,0.877832244,0.174170154,0.370598159,0.758335762,0.306984268,1.288309204
29,face with hand over mouth,🤭,0.216169035,0.367708536,0.16728502,0.220928709,0.354895116,0.202521588,0.197603169,0.407245662,0.454976806,0.679781721
30,shushing face,🤫,0.230737203,0.415446917,0.168332929,0.23995658,0.336829427,0.219594645,0.18994394,0.485796708,0.4508176,0.773634566
31,thinking face,🤔,0.253021653,0.416768891,0.180743618,0.284639589,0.320257735,0.256036197,0.210560626,0.50625646,0.549388572,0.794098805
32,zipper-mouth face,🤐,0.261513158,0.394298246,0.227887427,0.291483918,0.293311403,0.260307017,0.215497076,0.457602339,0.543128655,0.703691521
33,face with raised eyebrow,🤨,0.312104107,0.344710514,0.258093364,0.311502257,0.302934486,0.284520187,0.177811696,0.457820301,0.621441486,0.698239032
34,neutral face,😐,0.301259611,0.338898773,0.261874307,0.285593848,0.264668803,0.297063042,0.158325098,0.394331508,0.610965931,0.615167114
35,expressionless face,😑,0.334221022,0.363324084,0.280005331,0.303658967,0.280694779,0.303746719,0.152859896,0.414486605,0.657665254,0.620664844
36,face without mouth,😶,0.248790017,0.338758945,0.210868223,0.261000001,0.297168127,0.2523243,0.17976404,0.426697311,0.525427503,0.670434839
