ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At,Fan,Price,English,Title1,Review1,sentiment_score_Rev,sentiment_score_Title
R2SGK0RCPLU6D,Minnie6180,https://www.amazon.com/gp/profile/amzn1.account.AEETOZ27IRHFXDYXNPAOZZEB3XRQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Powerful little fan.,5,5.0 out of 5 stars,This is the 2nd time I’ve purchased this fan. First one lasted probably over 10 years before it finally wore out. Has great air flow and runs quietly. It’s small and doesn’t take up much space. I use it in the bathroom while I’m drying my hair and getting dressed. Also take it with us when we travel because I like a fan blowing over me while I sleep. And I like the white noise.,https://www.amazon.com/gp/customer-reviews/R2SGK0RCPLU6D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,26-May-25,,Verified Purchase,,,,,2025-05-29T13:50:28.446Z,1,35,0,Powerful little fan.,This is the 2nd time I’ve purchased this fan. First one lasted probably over 10 years before it finally wore out. Has great air flow and runs quietly. It’s small and doesn’t take up much space. I use it in the bathroom while I’m drying my hair and getting dressed. Also take it with us when we travel because I like a fan blowing over me while I sleep. And I like the white noise.,0.919,0.5868
R20ZXGNNG1WSFS,Gerald L. Bollinger,https://www.amazon.com/gp/profile/amzn1.account.AECO56WMTRMPHTPEPRZPPLIRPURQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Very loud,1,1.0 out of 5 stars,Very loud whine.,https://www.amazon.com/gp/customer-reviews/R20ZXGNNG1WSFS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,23-May-25,,Verified Purchase,,,,,2025-05-29T13:50:28.446Z,1,35,0,Very loud,Very loud whine.,-0.4173,0
R1VIW863DL1F4,Marie k,https://www.amazon.com/gp/profile/amzn1.account.AEEDG6DAB45E7MLCFT3FE3OZH7MA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Bad product vibrates when on.,1,1.0 out of 5 stars,I actually purchased two of these only (replacement) because the first one would vibrate when it was on and now the second one vibrates when it’s on. We only purchased it because we had to replace the one we had which never vibrated and unfortunately stopped working after 2 yrs. This is an extremely bad lot!  I would like to know if I can get this replaced and if we know if you’re using bad  parts possibly that causes a vibration. It’s very annoying!,https://www.amazon.com/gp/customer-reviews/R1VIW863DL1F4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,22-May-25,,Verified Purchase,,,,,2025-05-29T13:50:28.447Z,1,35,0,Bad product vibrates when on.,I actually purchased two of these only (replacement) because the first one would vibrate when it was on and now the second one vibrates when it’s on. We only purchased it because we had to replace the one we had which never vibrated and unfortunately stopped working after 2 yrs. This is an extremely bad lot!  I would like to know if I can get this replaced and if we know if you’re using bad  parts possibly that causes a vibration. It’s very annoying!,-0.8494,-0.5423
R2XQBVRBMQWE4E,Zia,https://www.amazon.com/gp/profile/amzn1.account.AGFJR36MRQTRO3VWVBNJLH73FYCA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,works well for its size,4,4.0 out of 5 stars,"What makes this fan perfect for me is that it is small and narrow.  I have a tiny kitchen with very little counter space and this fan fits perfect between my sink and microwave.  I wouldn't say it's crazy powerful, but it definitely moves the air enough to make a difference.  For as much as this fan is great though, it doesn't seem to last.  I have had to buy a new one every year because it starts making this grinding noise when oscillating after a while.  So the cost definitely adds up for me.  Still.  I can't argue with it's size and function and haven't been able to find anything that works remotely as well that is this small.",https://www.amazon.com/gp/customer-reviews/R2XQBVRBMQWE4E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,13-May-25,,Verified Purchase,One person found this helpful,,,,2025-05-29T13:50:28.448Z,1,35,0,works well for its size,"What makes this fan perfect for me is that it is small and narrow.  I have a tiny kitchen with very little counter space and this fan fits perfect between my sink and microwave.  I wouldn't say it's crazy powerful, but it definitely moves the air enough to make a difference.  For as much as this fan is great though, it doesn't seem to last.  I have had to buy a new one every year because it starts making this grinding noise when oscillating after a while.  So the cost definitely adds up for me.  Still.  I can't argue with it's size and function and haven't been able to find anything that works remotely as well that is this small.",0.9842,0.2732
R3IWNB6Z46N1BD,i,https://www.amazon.com/gp/profile/amzn1.account.AGBRKKFN7RVVWRQTTPV7AVZL2RAA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,BUY IT!! YOU WON’T REGRET IT!!,5,5.0 out of 5 stars,Best desk top fan ever!! Stronger than a large stand up fan!,https://www.amazon.com/gp/customer-reviews/R3IWNB6Z46N1BD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,17-Apr-25,,Verified Purchase,One person found this helpful,,,,2025-05-29T13:50:28.448Z,1,35,0,BUY IT!! YOU WON’T REGRET IT!!,Best desk top fan ever!! Stronger than a large stand up fan!,0.9198,-0.6083
R3PUQP8RQHDGMX,Joey T.,https://www.amazon.com/gp/profile/amzn1.account.AGYQQGKZU2H5SEZJCJVGGROG4TPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good but rattling,2,2.0 out of 5 stars,"It has good airflow and is super slim compared to others however, there is an annoying somewhat high-pitched rattle sound on both modes but it is especially present on the quiet mode making it unbearable for me to have it on while working. I will be returning this unfortunately.",https://www.amazon.com/gp/customer-reviews/R3PUQP8RQHDGMX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,26-Mar-25,,Verified Purchase,,,,,2025-05-29T13:50:28.449Z,1,35,0,Good but rattling,"It has good airflow and is super slim compared to others however, there is an annoying somewhat high-pitched rattle sound on both modes but it is especially present on the quiet mode making it unbearable for me to have it on while working. I will be returning this unfortunately.",-0.2675,0.2382
R3ERE653CR8U1V,Brent Bathrick,https://www.amazon.com/gp/profile/amzn1.account.AF263KMDRP5JRCDBS255JOQNSB4A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Loud desk ornament,1,1.0 out of 5 stars,Just received it and I'm already going to return it tomorrow. Very loud and I can't even feel it 4 feet away,https://www.amazon.com/gp/customer-reviews/R3ERE653CR8U1V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,22-Mar-25,,Verified Purchase,,,,,2025-05-29T13:50:28.450Z,1,35,0,Loud desk ornament,Just received it and I'm already going to return it tomorrow. Very loud and I can't even feel it 4 feet away,0,0
R1WVEJY5OR34DO,Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AH5E2HXNMZJKUD4C3TJVF25JTT5Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Loud Vibrating Noise,3,3.0 out of 5 stars,"Fan works well. Has only two speeds. But, just recently it has started to make a loud vibrating noise. Sounds like it is coming from the motor. Wish I could return to get a replacement, but the window has closed.  It is too loud for an office setting.",https://www.amazon.com/gp/customer-reviews/R1WVEJY5OR34DO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,7-Mar-25,,Verified Purchase,One person found this helpful,,,,2025-05-29T13:50:28.451Z,1,35,0,Loud Vibrating Noise,"Fan works well. Has only two speeds. But, just recently it has started to make a loud vibrating noise. Sounds like it is coming from the motor. Wish I could return to get a replacement, but the window has closed.  It is too loud for an office setting.",0.8402,0
REOTOP763UWWY,Tabby H.,https://www.amazon.com/gp/profile/amzn1.account.AGAPM2TIZAG4XDT4U7ZBTS7QSUDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Very loud clicking sound,3,3.0 out of 5 stars,This fan sounds like it’s about to break down at any second. It’s like a clicking and grinding sound. I bought it because I had one identical to it for years and figured it would be the same. No. This one looks the same but sounds terrible and doesn’t run the same. The light is very bright so if you use it at night it will illuminate your room. I put bandaids over it to keep it dim.,https://www.amazon.com/gp/customer-reviews/REOTOP763UWWY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,20-Jan-25,,Verified Purchase,,,,,2025-05-29T13:50:28.451Z,1,35,0,Very loud clicking sound,This fan sounds like it’s about to break down at any second. It’s like a clicking and grinding sound. I bought it because I had one identical to it for years and figured it would be the same. No. This one looks the same but sounds terrible and doesn’t run the same. The light is very bright so if you use it at night it will illuminate your room. I put bandaids over it to keep it dim.,0.5089,0
RFBLB12S6TQFK,Robert,https://www.amazon.com/gp/profile/amzn1.account.AHTWCAPKUXBVGKYCZYJ7LHNWZZMA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good,5,5.0 out of 5 stars,Good delivery,https://www.amazon.com/gp/customer-reviews/RFBLB12S6TQFK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,9-Jan-25,,Verified Purchase,,,,,2025-05-29T13:50:28.452Z,1,35,0,Good,Good delivery,0.4404,0.4404
