ID,Username,ProfileURL,Title,Rating,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At,Fan,Price,English,Manually Corrected Title,Manually Corrected Review Content
R2SGK0RCPLU6D,Minnie6180,https://www.amazon.com/gp/profile/amzn1.account.AEETOZ27IRHFXDYXNPAOZZEB3XRQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Powerful little fan.,5,This is the 2nd time I’ve purchased this fan. First one lasted probably over 10 years before it finally wore out. Has great air flow and runs quietly. It’s small and doesn’t take up much space. I use it in the bathroom while I’m drying my hair and getting dressed. Also take it with us when we travel because I like a fan blowing over me while I sleep. And I like the white noise.,https://www.amazon.com/gp/customer-reviews/R2SGK0RCPLU6D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"May 26, 2025",,Verified Purchase,,,,,2025-05-28T15:36:49.858Z,1,35,0,Powerful little fan.,This is the 2nd time I’ve purchased this fan. First one lasted probably over 10 years before it finally wore out. Has great air flow and runs quietly. It’s small and doesn’t take up much space. I use it in the bathroom while I’m drying my hair and getting dressed. Also take it with us when we travel because I like a fan blowing over me while I sleep. And I like the white noise.
R3IWNB6Z46N1BD,i,https://www.amazon.com/gp/profile/amzn1.account.AGBRKKFN7RVVWRQTTPV7AVZL2RAA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,BUY IT!! YOU WON’T REGRET IT!!,5,Best desk top fan ever!! Stronger than a large stand up fan!,https://www.amazon.com/gp/customer-reviews/R3IWNB6Z46N1BD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"April 17, 2025",,Verified Purchase,One person found this helpful,,,,2025-05-28T15:36:49.858Z,1,35,0,BUY IT!! YOU WON’T REGRET IT!!,Best desk top fan ever!! Stronger than a large stand up fan!
R2XQBVRBMQWE4E,Zia,https://www.amazon.com/gp/profile/amzn1.account.AGFJR36MRQTRO3VWVBNJLH73FYCA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,works well for its size,4,"What makes this fan perfect for me is that it is small and narrow.  I have a tiny kitchen with very little counter space and this fan fits perfect between my sink and microwave.  I wouldn't say it's crazy powerful, but it definitely moves the air enough to make a difference.  For as much as this fan is great though, it doesn't seem to last.  I have had to buy a new one every year because it starts making this grinding noise when oscillating after a while.  So the cost definitely adds up for me.  Still.  I can't argue with it's size and function and haven't been able to find anything that works remotely as well that is this small.",https://www.amazon.com/gp/customer-reviews/R2XQBVRBMQWE4E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"May 13, 2025",,Verified Purchase,One person found this helpful,,,,2025-05-28T15:36:49.859Z,1,35,0,works well for its size,"What makes this fan perfect for me is that it is small and narrow.  I have a tiny kitchen with very little counter space and this fan fits perfect between my sink and microwave.  I wouldn't say it's crazy powerful, but it definitely moves the air enough to make a difference.  For as much as this fan is great though, it doesn't seem to last.  I have had to buy a new one every year because it starts making this grinding noise when oscillating after a while.  So the cost definitely adds up for me.  Still.  I can't argue with it's size and function and haven't been able to find anything that works remotely as well that is this small."
R2OVKBZ2IQABKP,Elsa,https://www.amazon.com/gp/profile/amzn1.account.AESNS6COL3C3UYBSXBGYJORKY4TQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great so far! Updated: Still great!,5,"I come from the land of the ice and snow, but I share a thermostat with three lizard-people. I needed something to pull the hallway air into my area without causing them to be uncomfortable for my happiness.I set up this fan immediately when I got it, and was thrilled with it. I turned it on, high speed, and immediately appreciated the air flow. It's got a little bit of a high-pitched whirr in the sound of the fan, but I quit noticing it after a little while. I heard it more prominently in the hallway outside my office, but no one else commented on it, and again, I quit noticing.On that first day, when I stepped out of my office to run an errand, I pushed the power button - and found the low setting. It's significantly quieter, and still has noticeable air flow. The lower setting, on oscillate, has been perfect for most days. On occasion, I'll use the high setting when the weather outside shifts suddenly warmer and the HVAC isn't ready for that change.I like the oscillation on both settings - it moves slowly, which is nice. And the oscillation itself doesn't make any noise, which is nice.And all of that was _after_ I dropped it on the ground while juggling lots of things between my house and car, to head to work. So far so good. I picked up this fan after reading millions of reviews on _other_ fans. I bought this one because it's cheap and sounded similar, in positives and negatives, to so many others - if it's going to be horrible, at least I'm not out $50+ bucks.**UPDATE** 08-08-2017After consistent perfect performance, this afternoon the fan on low setting dramatically reduced power. It still oscillates and kicks out air, but only barely noticeable from arms length. The white noise aspect is greatly diminished. I haven't tried cleaning it yet - there was a good bit of dust on the air intake grate.  High power setting function, with and without oscillate, is still flawless.**UPDATE** 09-13-2017I think it objected to being turned off at the extension cord it shares with one lamp, as opposed to via the unit controls. When I started exclusively using the unit controls, it started working normally again. Weird, but that's easy to accommodate.**UPDATE** 01-09-2025This trusty workhorse has been a steady performer for years now. Today, it developed a screech that I'll have to investigate. If I can get it working nicely again, it'll be relocated to my house. Today, I bought a new one for daily use in the office.",https://www.amazon.com/gp/customer-reviews/R2OVKBZ2IQABKP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"June 12, 2017",,Verified Purchase,8 people found this helpful,,,,2025-05-28T15:36:49.860Z,1,35,0,Great so far! Updated: Still great!,"I come from the land of the ice and snow, but I share a thermostat with three lizard-people. I needed something to pull the hallway air into my area without causing them to be uncomfortable for my happiness.I set up this fan immediately when I got it, and was thrilled with it. I turned it on, high speed, and immediately appreciated the air flow. It's got a little bit of a high-pitched whirr in the sound of the fan, but I quit noticing it after a little while. I heard it more prominently in the hallway outside my office, but no one else commented on it, and again, I quit noticing.On that first day, when I stepped out of my office to run an errand, I pushed the power button - and found the low setting. It's significantly quieter, and still has noticeable air flow. The lower setting, on oscillate, has been perfect for most days. On occasion, I'll use the high setting when the weather outside shifts suddenly warmer and the HVAC isn't ready for that change.I like the oscillation on both settings - it moves slowly, which is nice. And the oscillation itself doesn't make any noise, which is nice.And all of that was _after_ I dropped it on the ground while juggling lots of things between my house and car, to head to work. So far so good. I picked up this fan after reading millions of reviews on _other_ fans. I bought this one because it's cheap and sounded similar, in positives and negatives, to so many others - if it's going to be horrible, at least I'm not out $50+ bucks.**UPDATE** 08-08-2017After consistent perfect performance, this afternoon the fan on low setting dramatically reduced power. It still oscillates and kicks out air, but only barely noticeable from arms length. The white noise aspect is greatly diminished. I haven't tried cleaning it yet - there was a good bit of dust on the air intake grate.  High power setting function, with and without oscillate, is still flawless.**UPDATE** 09-13-2017I think it objected to being turned off at the extension cord it shares with one lamp, as opposed to via the unit controls. When I started exclusively using the unit controls, it started working normally again. Weird, but that's easy to accommodate.**UPDATE** 01-09-2025This trusty workhorse has been a steady performer for years now. Today, it developed a screech that I'll have to investigate. If I can get it working nicely again, it'll be relocated to my house. Today, I bought a new one for daily use in the office."
R1WVEJY5OR34DO,Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AH5E2HXNMZJKUD4C3TJVF25JTT5Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Loud Vibrating Noise,3,"Fan works well. Has only two speeds. But, just recently it has started to make a loud vibrating noise. Sounds like it is coming from the motor. Wish I could return to get a replacement, but the window has closed.  It is too loud for an office setting.",https://www.amazon.com/gp/customer-reviews/R1WVEJY5OR34DO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"March 7, 2025",,Verified Purchase,One person found this helpful,,,,2025-05-28T15:36:49.861Z,1,35,0,Loud Vibrating Noise,"Fan works well. Has only two speeds. But, just recently it has started to make a loud vibrating noise. Sounds like it is coming from the motor. Wish I could return to get a replacement, but the window has closed.  It is too loud for an office setting."
R8L4RBCJ4DL2I,CoffeeeD,https://www.amazon.com/gp/profile/amzn1.account.AHEZXCBNZH27BIHSM2HGTEONJC2Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Unique design, perfect for the desk or cubicle.",5,"I love this fan it is the perfect size for a desk or cubicle. I work in a nice cubicle Monday to Friday 8am to 5pm and it's nice to have this fan when it gets a little warm. I want to say it is quiet, and it is, the fan is generally quiet. However, something is always rattling or making noises. I figured it is just part of the operation. I had 3 others in the office buy the same fan after they saw mine and they all make a slightly different noise, but they are still quiet and push a lot of air.Being that this fan is the 'blower' type or 'hamster wheel' type it really does push a lot of air. And you do not get the swirling effect that normal fan blades create, or the slicing of the air effect. This one feels good when it is blowing on you, but you may want to have it oscillate because if it is blowing on my face as I am working on the computer it makes my eyes very dry and I cannot have it blowing on me for too long. That's okay though because I don't think you should have any sort of fan blowing directly on you for an extended period of time.As you may already know it has 2 speeds, low and high. The high speed is too loud if you are on the phone around your co-workers. The low speed is the quiet setting and it still pushes plenty of air. I had to adjust it several times because my 'cold' neighbors could feel the breeze and didn't like it.I would recommend this fan. It pushes more air on your desk than any sort of desk style blade fan. They make those mini fans that look like smaller version of those floor standing fans, but this fan moves more air. I purchased it because I like the brand and I was also thoroughly impressed at the slim design and the use of an all metal blower fan. Oh yes, that's right, the blower is all metal!! The back of it is perforated metal. The air inlet is actually only a sliver of the back on the right side, You can see the plastic shell inside, that only allows it to suck air in through about an inch and a half strip in the back right if you are looking at it from the front. However, this is probably what creates it's strong air flow and high pressure (for it's size).",https://www.amazon.com/gp/customer-reviews/R8L4RBCJ4DL2I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"August 27, 2015",,Verified Purchase,8 people found this helpful,,,,2025-05-28T15:36:49.861Z,1,35,0,"Unique design, perfect for the desk or cubicle.","I love this fan it is the perfect size for a desk or cubicle. I work in a nice cubicle Monday to Friday 8am to 5pm and it's nice to have this fan when it gets a little warm. I want to say it is quiet, and it is, the fan is generally quiet. However, something is always rattling or making noises. I figured it is just part of the operation. I had 3 others in the office buy the same fan after they saw mine and they all make a slightly different noise, but they are still quiet and push a lot of air.Being that this fan is the 'blower' type or 'hamster wheel' type it really does push a lot of air. And you do not get the swirling effect that normal fan blades create, or the slicing of the air effect. This one feels good when it is blowing on you, but you may want to have it oscillate because if it is blowing on my face as I am working on the computer it makes my eyes very dry and I cannot have it blowing on me for too long. That's okay though because I don't think you should have any sort of fan blowing directly on you for an extended period of time.As you may already know it has 2 speeds, low and high. The high speed is too loud if you are on the phone around your co-workers. The low speed is the quiet setting and it still pushes plenty of air. I had to adjust it several times because my 'cold' neighbors could feel the breeze and didn't like it.I would recommend this fan. It pushes more air on your desk than any sort of desk style blade fan. They make those mini fans that look like smaller version of those floor standing fans, but this fan moves more air. I purchased it because I like the brand and I was also thoroughly impressed at the slim design and the use of an all metal blower fan. Oh yes, that's right, the blower is all metal!! The back of it is perforated metal. The air inlet is actually only a sliver of the back on the right side, You can see the plastic shell inside, that only allows it to suck air in through about an inch and a half strip in the back right if you are looking at it from the front. However, this is probably what creates it's strong air flow and high pressure (for it's size)."
R2BNMFQ1F81182,sdrawdek,https://www.amazon.com/gp/profile/amzn1.account.AHMBZJWESAMVPLPT2TQJQ6DAKRQQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It’s “quiet”…compared to a full sized box fan on high,1,"I had high hopes for this fan. My sister had purchased an older version of this fan and it was much quieter than this one. I have a 15” Vornado running in the next room over that is less than half the volume of this desktop fan. As a matter of fact, the Vornado runs so silently you have to actually be standing next to it to hear it (when running on low setting). The high setting on this desktop fan is quieter than the low setting, if you can believe it. I would imagine it would be much quieter if good bearings were used (rattles in both high and low modes) and if they ducted the fan properly (high-pitched sound the fan makes along with the rattling). Also, the buttons almost require two hands to press. They’re so cheap they require pressing harder than expected and with the fan weighing so little, pressing the switches moves the fan. Have to either grip the entire fan front to back or use one hand to steady the fan while pressing the buttons with the other. The buttons feel like they have reached the end of their life (you know, like you’ve pressed it so many times the “throw” of the switch or distance it pushes in is nearly nonexistent. It would have been better if they had used touch-sensitive switches since the fan is so lightweight.Manufacturer, spend a little more money on quality parts to build your product and raise the price a little to compensate but give us a product we don’t mind telling others about.So sad.",https://www.amazon.com/gp/customer-reviews/R2BNMFQ1F81182/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"September 30, 2024",,Verified Purchase,3 people found this helpful,,,,2025-05-28T15:36:49.862Z,1,35,0,It’s “quiet”…compared to a full sized box fan on high,"I had high hopes for this fan. My sister had purchased an older version of this fan and it was much quieter than this one. I have a 15” Vornado running in the next room over that is less than half the volume of this desktop fan. As a matter of fact, the Vornado runs so silently you have to actually be standing next to it to hear it (when running on low setting). The high setting on this desktop fan is quieter than the low setting, if you can believe it. I would imagine it would be much quieter if good bearings were used (rattles in both high and low modes) and if they ducted the fan properly (high-pitched sound the fan makes along with the rattling). Also, the buttons almost require two hands to press. They’re so cheap they require pressing harder than expected and with the fan weighing so little, pressing the switches moves the fan. Have to either grip the entire fan front to back or use one hand to steady the fan while pressing the buttons with the other. The buttons feel like they have reached the end of their life (you know, like you’ve pressed it so many times the “throw” of the switch or distance it pushes in is nearly nonexistent. It would have been better if they had used touch-sensitive switches since the fan is so lightweight.Manufacturer, spend a little more money on quality parts to build your product and raise the price a little to compensate but give us a product we don’t mind telling others about.So sad."
R22GMG9IUHI09V,Smallspace,https://www.amazon.com/gp/profile/amzn1.account.AHYKBRNMZGQELDOO3WTLWXZJ4INA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,One of the best mini tower fan...,5,"One of the best mini tower fan I ever had! My budget is tight but I figured better spend some money to help cool the back of computer or an Xbox console as it would obviously cost way more than I can afford if I don't help it cool down. I did quite a research before I bought 3 types of fans by reading the 3 star reviews of small/personal fans here at amazon.This one is a bit more than the spt mini tower fan but it was my first choice because generally, i have had good experience with lasko products (had a tower fan and i have a tower heater) and so I bought it along with the spt.I regret buying the spt for the lower price and just to satisfy my curiosity (benefit of a doubt that it's just a matter of marketing) because my unit is very noisy and at the same time tilts/leans when it oscillates. Now, I don't know if all spt mini towers are like that or if mine is an isolated case but that's basically a fact in my case. I can't return or exchange because it has been months since my purchase and I only tried the oscillate function today. Sigh:(Anyway, going back to this lasko mini tower fan, omg!!! It's sooooo quiet that I sometimes forget to turn it off!!! And the air flow is close to the brookstone mini max tower fan (this one is really good too!) that I've had for many years now.I have fixed the spt mini in a corner away from people and pets (when it leans to the right, it looks like it could literally fall - scary scenario for me) as a precaution. But what I'm going to do eventually, when I have extra money is that I'll buy another one of this lasko mini tower. It's so slim. Looks elegant like the brookstone. It's worth every penny!!!I wish they'd also make something a bit taller for kitchen to help dry dishes and also one that would stand horizontally to put on op of kitchen cabinets!!!",https://www.amazon.com/gp/customer-reviews/R22GMG9IUHI09V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"June 8, 2013",,Verified Purchase,10 people found this helpful,,,,2025-05-28T15:36:49.862Z,1,35,0,One of the best mini tower fan...,"One of the best mini tower fan I ever had! My budget is tight but I figured better spend some money to help cool the back of computer or an Xbox console as it would obviously cost way more than I can afford if I don't help it cool down. I did quite a research before I bought 3 types of fans by reading the 3 star reviews of small/personal fans here at amazon.This one is a bit more than the spt mini tower fan but it was my first choice because generally, i have had good experience with lasko products (had a tower fan and i have a tower heater) and so I bought it along with the spt.I regret buying the spt for the lower price and just to satisfy my curiosity (benefit of a doubt that it's just a matter of marketing) because my unit is very noisy and at the same time tilts/leans when it oscillates. Now, I don't know if all spt mini towers are like that or if mine is an isolated case but that's basically a fact in my case. I can't return or exchange because it has been months since my purchase and I only tried the oscillate function today. Sigh:(Anyway, going back to this lasko mini tower fan, omg!!! It's sooooo quiet that I sometimes forget to turn it off!!! And the air flow is close to the brookstone mini max tower fan (this one is really good too!) that I've had for many years now.I have fixed the spt mini in a corner away from people and pets (when it leans to the right, it looks like it could literally fall - scary scenario for me) as a precaution. But what I'm going to do eventually, when I have extra money is that I'll buy another one of this lasko mini tower. It's so slim. Looks elegant like the brookstone. It's worth every penny!!!I wish they'd also make something a bit taller for kitchen to help dry dishes and also one that would stand horizontally to put on op of kitchen cabinets!!!"
REOTOP763UWWY,Tabby H.,https://www.amazon.com/gp/profile/amzn1.account.AGAPM2TIZAG4XDT4U7ZBTS7QSUDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Very loud clicking sound,3,This fan sounds like it’s about to break down at any second. It’s like a clicking and grinding sound. I bought it because I had one identical to it for years and figured it would be the same. No. This one looks the same but sounds terrible and doesn’t run the same. The light is very bright so if you use it at night it will illuminate your room. I put bandaids over it to keep it dim.,https://www.amazon.com/gp/customer-reviews/REOTOP763UWWY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"January 20, 2025",,Verified Purchase,,,,,2025-05-28T15:36:49.863Z,1,35,0,Very loud clicking sound,This fan sounds like it’s about to break down at any second. It’s like a clicking and grinding sound. I bought it because I had one identical to it for years and figured it would be the same. No. This one looks the same but sounds terrible and doesn’t run the same. The light is very bright so if you use it at night it will illuminate your room. I put bandaids over it to keep it dim.
R10424OU3DXJSK,Amber B,https://www.amazon.com/gp/profile/amzn1.account.AFJF3AAMB5S7BCSBX425N25TSYPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,I really like this fan,5,"I really like this fan.  Though it is a smaller than I anticipated, it does a great job of providing the right amount of air flow needed. for the area.I also like that it is child friendly, meaning they would have to really try to hurt themselves with this product rather than the large blade fans.This review is my full and honest opinion after testing and examining all aspects of this product in my own home, for my own use.  My goal in reviewing products is to help others, like you, in their search for the best products on Amazon.  If I give the product a five star review, that means that I am extremely happy with the product. Five stars means that the product has gone beyond and above my expectations and I would have paid/will pay in the future the full price plus shipping for this product. I will definitely continue to purchase five star products for myself as well as recommend them to my friends and family. Four stars: If I give the product four stars, this means that I really like the product and I have found a good use for it. The product function as intended and serves it's purpose well. It is likely that I would purchase this product again in the future. Three stars: If I rate a product at three stars, that means that I am  satisfied with the product, but I do not believe it is the best in its product area, therefore I would definitely search for other products within that area the next time I purchase. Two Stars: If I give the product two stars, that means that i am not impressed. I would not purchase the product again. There maybe elements of the product that are not exactly defective, but are not desirable. One Star:  If I give  the product one star, I am unsatisfied with the product/does not work/it is defective. I would definitely not purchase this product again.",https://www.amazon.com/gp/customer-reviews/R10424OU3DXJSK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000MFAOPY,"September 15, 2016",,Verified Purchase,3 people found this helpful,,,,2025-05-28T15:36:49.863Z,1,35,0,I really like this fan,"I really like this fan.  Though it is a smaller than I anticipated, it does a great job of providing the right amount of air flow needed. for the area.I also like that it is child friendly, meaning they would have to really try to hurt themselves with this product rather than the large blade fans.This review is my full and honest opinion after testing and examining all aspects of this product in my own home, for my own use.  My goal in reviewing products is to help others, like you, in their search for the best products on Amazon.  If I give the product a five star review, that means that I am extremely happy with the product. Five stars means that the product has gone beyond and above my expectations and I would have paid/will pay in the future the full price plus shipping for this product. I will definitely continue to purchase five star products for myself as well as recommend them to my friends and family. Four stars: If I give the product four stars, this means that I really like the product and I have found a good use for it. The product function as intended and serves it's purpose well. It is likely that I would purchase this product again in the future. Three stars: If I rate a product at three stars, that means that I am  satisfied with the product, but I do not believe it is the best in its product area, therefore I would definitely search for other products within that area the next time I purchase. Two Stars: If I give the product two stars, that means that i am not impressed. I would not purchase the product again. There maybe elements of the product that are not exactly defective, but are not desirable. One Star:  If I give  the product one star, I am unsatisfied with the product/does not work/it is defective. I would definitely not purchase this product again."
