ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At,Heater,Price,English,Title1,Review1,sentiment_score_Rev,sentiment_score_Title
R32H5MNTCYLZGN,Ralph Rosselot,https://www.amazon.com/gp/profile/amzn1.account.AEPJ4SGUYGP25O7HK7IJ7T7XJK7A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Works great!,5,5.0 out of 5 stars,I bought this heater for my greenhouse. It worked well with keeping the desired temperature no matter how cold the outside temperature was.,https://www.amazon.com/gp/customer-reviews/R32H5MNTCYLZGN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,30-May-25,Color: Gray,Verified Purchase,,,,,2025-06-03T15:24:36.947Z,1,33.56,0,Works great!,I bought this heater for my greenhouse. It worked well with keeping the desired temperature no matter how cold the outside temperature was.,0.4812,0.6588
R3ETPVNODYMA9G,BeckyL,https://www.amazon.com/gp/profile/amzn1.account.AFAQGAF7DWVD3QC7QVLYR34PC3AQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Cord overheats-fire hazard.,5,5.0 out of 5 stars,Cord is too light. Overheats. Product malfunction a year after buying leaving me stuck this early spring with no heat except a oil radiator type. It was the only thing on and luckily the breaker flipped. I was trying to just use it a few minutes at a time to try and baby it the rest of the season. Nope. If my breaker had not flipped it would have caught fire.,https://www.amazon.com/gp/customer-reviews/R3ETPVNODYMA9G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,16-May-25,Color: Black,Verified Purchase,,,,,2025-06-03T15:24:36.948Z,1,33.56,0,Cord overheats-fire hazard.,Cord is too light. Overheats. Product malfunction a year after buying leaving me stuck this early spring with no heat except a oil radiator type. It was the only thing on and luckily the breaker flipped. I was trying to just use it a few minutes at a time to try and baby it the rest of the season. Nope. If my breaker had not flipped it would have caught fire.,-0.3182,0
R1DOKDB4DFLCAJ,Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AFMVW6C3FFAVMKKJC2BYFTS66YDA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great heater,4,4.0 out of 5 stars,"It does make a rattling sound when it’s turned on, but overall, it will heat up the room within a few minutes",https://www.amazon.com/gp/customer-reviews/R1DOKDB4DFLCAJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,10-May-25,Color: Gray,Verified Purchase,,,,,2025-06-03T15:24:36.949Z,1,33.56,0,Great heater,"It does make a rattling sound when it’s turned on, but overall, it will heat up the room within a few minutes",0,0.6249
R6C2UGS43QM6B,Terry,https://www.amazon.com/gp/profile/amzn1.account.AHXB3T2WETHQK5I3GPGMCJEUUYDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It should put out more heat than it does,4,4.0 out of 5 stars,"For a 1500 Watt Milkhouse heater, it seems a little weak.  I have other 1500w heaters similar in design that put out more heat.",https://www.amazon.com/gp/customer-reviews/R6C2UGS43QM6B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,28-Apr-25,Color: Black,Verified Purchase,One person found this helpful,,,,2025-06-03T15:24:36.949Z,1,33.56,0,It should put out more heat than it does,"For a 1500 Watt Milkhouse heater, it seems a little weak.  I have other 1500w heaters similar in design that put out more heat.",-0.3832,0
RY2AIWA2GR8RN,An Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGEABQKWAMQITS4Q54X7QUNGRYQA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great,5,5.0 out of 5 stars,Great,https://www.amazon.com/gp/customer-reviews/RY2AIWA2GR8RN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,21-Apr-25,Color: Black,Verified Purchase,,,,,2025-06-03T15:24:36.950Z,1,33.56,0,Great,Great,0.6249,0.6249
RAMA3CL8OXV4Z,George Hoffman,https://www.amazon.com/gp/profile/amzn1.account.AHECTZREUCZU34AZVTJDRXUZAP3Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Burning plastic smell,1,1.0 out of 5 stars,"Burning plastic smell, absolute garbage",https://www.amazon.com/gp/customer-reviews/RAMA3CL8OXV4Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,20-Apr-25,Color: Black,Verified Purchase,One person found this helpful,,,,2025-06-03T15:24:36.951Z,1,33.56,0,Burning plastic smell,"Burning plastic smell, absolute garbage",0,0
R253S5EPGLUQ72,Herb,https://www.amazon.com/gp/profile/amzn1.account.AH4HOLQKSPIEFJR3PWNAXEAFNH7Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Poor construction for an electrical heater,1,1.0 out of 5 stars,"Extremely poor construction:  The fan creating a vibrating and rattling noise.  I could press on the front panel to make the noise go away.I returned the heater for a replacement.  The replacement heater was super quiet, but all of the screws on the back panel were stripped out and fell out.  I replace the 6 back panel screws and all is well.Other than the poor, poor construction, the heater worked well.",https://www.amazon.com/gp/customer-reviews/R253S5EPGLUQ72/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,18-Apr-25,Color: Black,Verified Purchase,One person found this helpful,,,,2025-06-03T15:24:36.951Z,1,33.56,0,Poor construction for an electrical heater,"Extremely poor construction:  The fan creating a vibrating and rattling noise.  I could press on the front panel to make the noise go away.I returned the heater for a replacement.  The replacement heater was super quiet, but all of the screws on the back panel were stripped out and fell out.  I replace the 6 back panel screws and all is well.Other than the poor, poor construction, the heater worked well.",-0.846,-0.4767
R234TLO2Q76EJL,Jim c,https://www.amazon.com/gp/profile/amzn1.account.AHLDRKBTNPZYTNFMBKRXC6QDLPYA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Safety features,5,5.0 out of 5 stars,Good heat for a 8by 10 room,https://www.amazon.com/gp/customer-reviews/R234TLO2Q76EJL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,13-Apr-25,Color: Black,Verified Purchase,,,,,2025-06-03T15:24:36.952Z,1,33.56,0,Safety features,Good heat for a 8by 10 room,0.4404,0.4215
R3EX600MYILTWR,logan,https://www.amazon.com/gp/profile/amzn1.account.AFVV2A3BXQSRBAFQKTRVTPGR2N7Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Susan,1,1.0 out of 5 stars,Heater never worked fan wouldn't turn,https://www.amazon.com/gp/customer-reviews/R3EX600MYILTWR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,13-Apr-25,Color: Black,Verified Purchase,One person found this helpful,,,,2025-06-03T15:24:36.953Z,1,33.56,0,Susan,Heater never worked fan wouldn't turn,-0.2411,0
R2XEGWS7QQ49TA,Woodchip,https://www.amazon.com/gp/profile/amzn1.account.AGZSWJ7B6FSJVXBDFNZXGZQ4FIRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great Little Heater,5,5.0 out of 5 stars,"I now own 3 of these heaters. I use them in the smaller rooms and it heats them up well. I tried it in a very large room but all it did was take the edge off the cold, it never really heated up the whole room. I typically leave it on full blast to heat up the room, then when it's a comfortable temperature, I turn down the thermostat and it will turn on and off as it maintains the temperature. The tip over feature works well, as soon as I pick it up to move it, or I tip it, it shuts off until I stabilize it again. It did have an odor when first running it, so I ran it outside for about an hour, and the smell was more tolerable, then as time went on the smell entirely went away. I find it easy to use, it's not too big, not too small, and looks like a typical Milkhouse heater.",https://www.amazon.com/gp/customer-reviews/R2XEGWS7QQ49TA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,12-Apr-25,Color: Black,Verified Purchase,2 people found this helpful,,,,2025-06-03T15:24:36.954Z,1,33.56,0,Great Little Heater,"I now own 3 of these heaters. I use them in the smaller rooms and it heats them up well. I tried it in a very large room but all it did was take the edge off the cold, it never really heated up the whole room. I typically leave it on full blast to heat up the room, then when it's a comfortable temperature, I turn down the thermostat and it will turn on and off as it maintains the temperature. The tip over feature works well, as soon as I pick it up to move it, or I tip it, it shuts off until I stabilize it again. It did have an odor when first running it, so I ran it outside for about an hour, and the smell was more tolerable, then as time went on the smell entirely went away. I find it easy to use, it's not too big, not too small, and looks like a typical Milkhouse heater.",0.9377,0.6249
