ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At,Heater,Price,English,Manually Corrected Title,Manually Corrected Review Content
R3ETPVNODYMA9G,BeckyL,https://www.amazon.com/gp/profile/amzn1.account.AFAQGAF7DWVD3QC7QVLYR34PC3AQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Cord overheats-fire hazard.,5,5.0 out of 5 stars,Cord is too light. Overheats. Product malfunction a year after buying leaving me stuck this early spring with no heat except a oil radiator type. It was the only thing on and luckily the breaker flipped. I was trying to just use it a few minutes at a time to try and baby it the rest of the season. Nope. If my breaker had not flipped it would have caught fire.,https://www.amazon.com/gp/customer-reviews/R3ETPVNODYMA9G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"May 16, 2025",Color: Black,Verified Purchase,,,,,2025-06-03T13:37:34.789Z,1,33.56,0,Cord overheats-fire hazard.,Cord is too light. Overheats. Product malfunction a year after buying leaving me stuck this early spring with no heat except a oil radiator type. It was the only thing on and luckily the breaker flipped. I was trying to just use it a few minutes at a time to try and baby it the rest of the season. Nope. If my breaker had not flipped it would have caught fire.
R2XEGWS7QQ49TA,Woodchip,https://www.amazon.com/gp/profile/amzn1.account.AGZSWJ7B6FSJVXBDFNZXGZQ4FIRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great Little Heater,5,5.0 out of 5 stars,"I now own 3 of these heaters. I use them in the smaller rooms and it heats them up well. I tried it in a very large room but all it did was take the edge off the cold, it never really heated up the whole room. I typically leave it on full blast to heat up the room, then when it's a comfortable temperature, I turn down the thermostat and it will turn on and off as it maintains the temperature. The tip over feature works well, as soon as I pick it up to move it, or I tip it, it shuts off until I stabilize it again. It did have an odor when first running it, so I ran it outside for about an hour, and the smell was more tolerable, then as time went on the smell entirely went away. I find it easy to use, it's not too big, not too small, and looks like a typical Milkhouse heater.",https://www.amazon.com/gp/customer-reviews/R2XEGWS7QQ49TA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"April 12, 2025",Color: Black,Verified Purchase,2 people found this helpful,,,,2025-06-03T13:37:34.790Z,1,33.56,0,Great Little Heater,"I now own 3 of these heaters. I use them in the smaller rooms and it heats them up well. I tried it in a very large room but all it did was take the edge off the cold, it never really heated up the whole room. I typically leave it on full blast to heat up the room, then when it's a comfortable temperature, I turn down the thermostat and it will turn on and off as it maintains the temperature. The tip over feature works well, as soon as I pick it up to move it, or I tip it, it shuts off until I stabilize it again. It did have an odor when first running it, so I ran it outside for about an hour, and the smell was more tolerable, then as time went on the smell entirely went away. I find it easy to use, it's not too big, not too small, and looks like a typical Milkhouse heater."
R32H5MNTCYLZGN,Ralph Rosselot,https://www.amazon.com/gp/profile/amzn1.account.AEPJ4SGUYGP25O7HK7IJ7T7XJK7A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Works great!,5,5.0 out of 5 stars,I bought this heater for my greenhouse. It worked well with keeping the desired temperature no matter how cold the outside temperature was.,https://www.amazon.com/gp/customer-reviews/R32H5MNTCYLZGN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"May 30, 2025",Color: Gray,Verified Purchase,,,,,2025-06-03T13:37:34.790Z,1,33.56,0,Works great!,I bought this heater for my greenhouse. It worked well with keeping the desired temperature no matter how cold the outside temperature was.
R1DOKDB4DFLCAJ,Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AFMVW6C3FFAVMKKJC2BYFTS66YDA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great heater,4,4.0 out of 5 stars,"It does make a rattling sound when it’s turned on, but overall, it will heat up the room within a few minutes",https://www.amazon.com/gp/customer-reviews/R1DOKDB4DFLCAJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"May 10, 2025",Color: Gray,Verified Purchase,,,,,2025-06-03T13:37:34.791Z,1,33.56,0,Great heater,"It does make a rattling sound when it’s turned on, but overall, it will heat up the room within a few minutes"
R11UL7BJ12ZH59,Robert Klosterkemper,https://www.amazon.com/gp/profile/amzn1.account.AGZ2MPDKKLOTLKAPBZ5WEM5YRTQA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Great Heat / Thrmostat Works / Long Service Life,5,5.0 out of 5 stars,"This heater is SWEET!  I'm very impressed with this product.  I bought a smaller little under the desk type heater but the thing is not so bueno.  The unit in question, however, is wonderful.  It throws off a loot of heat and (unlike the other heater) the thermostat WORKS!I had a unit pretty much exactly like this that I bought from Home Depot and it lasted three and a half years.  When I saw this heater on Amazon, I was happy.  I know this thing will last!",https://www.amazon.com/gp/customer-reviews/R11UL7BJ12ZH59/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"April 7, 2025",Color: Black,Verified Purchase,2 people found this helpful,,,,2025-06-03T13:37:34.792Z,1,33.56,0,Great Heat / Thrmostat Works / Long Service Life,"This heater is SWEET!  I'm very impressed with this product.  I bought a smaller little under the desk type heater but the thing is not so bueno.  The unit in question, however, is wonderful.  It throws off a loot of heat and (unlike the other heater) the thermostat WORKS!I had a unit pretty much exactly like this that I bought from Home Depot and it lasted three and a half years.  When I saw this heater on Amazon, I was happy.  I know this thing will last!"
RT8XH90NTDRIW,BluWatersBluWaters,https://www.amazon.com/gp/profile/amzn1.account.AFMUPY7MX4JDJABC65AQM2ZN7HOA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It works but with a few hiccups,3,3.0 out of 5 stars,"I live in a small studio condo with not enough either insulation or a small electric baseboard heater.  Comfort Zone Milkhouse heater to the rescue.  It took a while for it to get going, I was already thinking about a return when the heat started blowing. Yesss!! It works perfectly, heating up my small quarters.P.S. I don't worry about the electrical bill because all utilities are included in the monthly condo fee.Back to the heater. It has good features and not so good ones. I will begin with the goodpart. Overheat protection and tip-over protection. When I first set up my new milkhouse heater, I picked it up to look at the Cauton button, which is when the heater stopped working but started again once I set it on the floor.  I decided not to attach the handle because I don't intend to carry it around. Attaching the handle is easy, all you need is a flat screwdriver and 2 screws that are already in.  Maybe will attach when I am in the mood.BUT.  This heater is equipped with a 2-prong ever so slightly polarized plug. I am no electrician but am aware that everything nowadays has 3-prong plugs. All my antennae went up and I started researching which yielded a confirmation that a 2-prong plug is not safe.  It lacks a grounding prong crucial for safety. I have ended up unplugging it when not in use as per instructions.Both the plug and the cord get pretty warm when in use, and take some time to cool down. I really don't know what to think about this.  I hesitate to return the unit because I want to stay warm. One star off for that.There is another model currently on the market, Comfort Glow Milkhouse heater which is equipped with a 3-prong plug; unfortunately not offered here on Amazon.  One star off for that.By the way, I have ended up paying a few $$ more supposedly as a special for the prime members. Does this make sense? Actually the prime deal translated into receiving the heater a few days earlier; I wish that it was spelled out this way rather than referring to the prime.  But overall, the happy end, knock on the wood.",https://www.amazon.com/gp/customer-reviews/RT8XH90NTDRIW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"December 5, 2024",Color: Black,Verified Purchase,16 people found this helpful,"https://m.media-amazon.com/images/I/510RS6-1aLL._SY88.jpg
https://m.media-amazon.com/images/I/51xw4RA5S3L._SY88.jpg
https://m.media-amazon.com/images/I/61GOZ2aoENL._SY88.jpg","https://m.media-amazon.com/images/I/510RS6-1aLL.jpg
https://m.media-amazon.com/images/I/51xw4RA5S3L.jpg
https://m.media-amazon.com/images/I/61GOZ2aoENL.jpg",,2025-06-03T13:37:34.792Z,1,33.56,0,It works but with a few hiccups,"I live in a small studio condo with not enough either insulation or a small electric baseboard heater.  Comfort Zone Milkhouse heater to the rescue.  It took a while for it to get going, I was already thinking about a return when the heat started blowing. Yesss!! It works perfectly, heating up my small quarters.P.S. I don't worry about the electrical bill because all utilities are included in the monthly condo fee.Back to the heater. It has good features and not so good ones. I will begin with the goodpart. Overheat protection and tip-over protection. When I first set up my new milkhouse heater, I picked it up to look at the Cauton button, which is when the heater stopped working but started again once I set it on the floor.  I decided not to attach the handle because I don't intend to carry it around. Attaching the handle is easy, all you need is a flat screwdriver and 2 screws that are already in.  Maybe will attach when I am in the mood.BUT.  This heater is equipped with a 2-prong ever so slightly polarized plug. I am no electrician but am aware that everything nowadays has 3-prong plugs. All my antennae went up and I started researching which yielded a confirmation that a 2-prong plug is not safe.  It lacks a grounding prong crucial for safety. I have ended up unplugging it when not in use as per instructions.Both the plug and the cord get pretty warm when in use, and take some time to cool down. I really don't know what to think about this.  I hesitate to return the unit because I want to stay warm. One star off for that.There is another model currently on the market, Comfort Glow Milkhouse heater which is equipped with a 3-prong plug; unfortunately not offered here on Amazon.  One star off for that.By the way, I have ended up paying a few $$ more supposedly as a special for the prime members. Does this make sense? Actually the prime deal translated into receiving the heater a few days earlier; I wish that it was spelled out this way rather than referring to the prime.  But overall, the happy end, knock on the wood."
R35UQ8TNOQEXSE,"Road Runner ,,  the package  was  very  good  shape and  promply  received as  the  best anyone  could  do very  good  job  thanks  Amazon   appreciate  it  ok",https://www.amazon.com/gp/profile/amzn1.account.AGVYGKHT32NQLHTAJPF5USJKYHNA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,A  very  nice  and  well  built  heater,5,5.0 out of 5 stars,"I liked  the  piece  of  heater  I  can  depend  on,,  I  owned  one  simular  to  this  one  it  lasted  for  a  many  of  winters  and  it  finally  went  down  from  usage  and  winters  this  looks  exactly  like  the  new one  i  ordered  i was  so  excited  i  got  one  on  my  cell  phone  very  dependable  so  i  bought  two  it  is  so  small  and  takes  up  very  little  space,,,,and  puts  out  a  very good  heat  no  noice  at  all  and  looks  very  nice  in  my  garage  and  bedroom  Thanks  for the  opportanity  to  let  u  know  it  is  a  superior  piece  of  oscillation  the  air  ok  Again  thanks  Lonnie",https://www.amazon.com/gp/customer-reviews/R35UQ8TNOQEXSE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"January 24, 2025",Color: Gray,Verified Purchase,,,,,2025-06-03T13:37:34.793Z,1,33.56,0,A  very  nice  and  well  built  heater,"I liked  the  piece  of  heater  I  can  depend  on,,  I  owned  one  simular  to  this  one  it  lasted  for  a  many  of  winters  and  it  finally  went  down  from  usage  and  winters  this  looks  exactly  like  the  new one  i  ordered  i was  so  excited  i  got  one  on  my  cell  phone  very  dependable  so  i  bought  two  it  is  so  small  and  takes  up  very  little  space,,,,and  puts  out  a  very good  heat  no  noice  at  all  and  looks  very  nice  in  my  garage  and  bedroom  Thanks  for the  opportanity  to  let  u  know  it  is  a  superior  piece  of  oscillation  the  air  ok  Again  thanks  Lonnie"
R6C2UGS43QM6B,Terry,https://www.amazon.com/gp/profile/amzn1.account.AHXB3T2WETHQK5I3GPGMCJEUUYDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It should put out more heat than it does,4,4.0 out of 5 stars,"For a 1500 Watt Milkhouse heater, it seems a little weak.  I have other 1500w heaters similar in design that put out more heat.",https://www.amazon.com/gp/customer-reviews/R6C2UGS43QM6B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"April 28, 2025",Color: Black,Verified Purchase,One person found this helpful,,,,2025-06-03T13:37:34.794Z,1,33.56,0,It should put out more heat than it does,"For a 1500 Watt Milkhouse heater, it seems a little weak.  I have other 1500w heaters similar in design that put out more heat."
R1JPWAKWOF052C,Soloviajero,https://www.amazon.com/gp/profile/amzn1.account.AFEIK5VY6ZFYJM5NUNHKJBKMWLVQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quieter than average,4,4.0 out of 5 stars,"I heat my garage shop with these during the winters and I’ve had quite a few over time.  For twenty bucks, they’re easy to replace.  This one is of classic, generic design and quality, and is commendable only in that it seems quieter than some of its predecessors.  The plastic knobs are poorly shaped and slippery, and they seem difficult to turn with cold, arthritic hands.  I wrapped cloth hockey tape on my knobs to make them easier to grip, which obviates the problem.All heaters of this kind deliver a maximum 1500 watts of heat to a room, so all that matters otherwise is how well the heater distributes the heat.  This one seems to have a weaker fan than priors, which may be better or worse for heat distribution.  In the trade-off, I opt for quieter over heat distribution, so I’m happy with that.I like this heater because it looks and works just like all the others before it, and it comes at a good price..",https://www.amazon.com/gp/customer-reviews/R1JPWAKWOF052C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"December 10, 2024",Color: Gray,Verified Purchase,,,,,2025-06-03T13:37:34.795Z,1,33.56,0,Quieter than average,"I heat my garage shop with these during the winters and I’ve had quite a few over time.  For twenty bucks, they’re easy to replace.  This one is of classic, generic design and quality, and is commendable only in that it seems quieter than some of its predecessors.  The plastic knobs are poorly shaped and slippery, and they seem difficult to turn with cold, arthritic hands.  I wrapped cloth hockey tape on my knobs to make them easier to grip, which obviates the problem.All heaters of this kind deliver a maximum 1500 watts of heat to a room, so all that matters otherwise is how well the heater distributes the heat.  This one seems to have a weaker fan than priors, which may be better or worse for heat distribution.  In the trade-off, I opt for quieter over heat distribution, so I’m happy with that.I like this heater because it looks and works just like all the others before it, and it comes at a good price.."
R1J56LDWRRGAHA,Michael bates,https://www.amazon.com/gp/profile/amzn1.account.AFR3CG3I6VUILLT7NFYT2TKOU7HA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good heater!,5,5.0 out of 5 stars,I use this in my garage and it works well. Set it a few feet away from you and it’s a nice warm breeze you can feel.  Actually turns off and on as needed and that’s a wonderful thing after so many other heaters that disappoint.  Way better than the little infrared units and I’m another one for the bathroom right now.,https://www.amazon.com/gp/customer-reviews/R1J56LDWRRGAHA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B005OTXH0C,"April 4, 2025",Color: Black,Verified Purchase,2 people found this helpful,,,,2025-06-03T13:37:34.795Z,1,33.56,0,Good heater!,I use this in my garage and it works well. Set it a few feet away from you and it’s a nice warm breeze you can feel.  Actually turns off and on as needed and that’s a wonderful thing after so many other heaters that disappoint.  Way better than the little infrared units and I’m another one for the bathroom right now.
