Date,Inflation,InterestRate,S&Preturns
1/1/18,2.1,1.41,
2/1/18,2.2,1.42,
3/1/18,2.3,1.51,
4/1/18,2.4,1.69,
5/1/18,2.8,1.7,
6/1/18,2.8,1.82,
7/1/18,2.9,1.91,
8/1/18,2.7,1.91,
9/1/18,2.4,1.95,
10/1/18,2.5,2.19,
11/1/18,2.2,2.2,
12/1/18,1.9,2.27,
1/1/19,1.5,2.4,
2/1/19,1.5,2.4,
3/1/19,1.9,2.41,
4/1/19,2,2.42,
5/1/19,1.8,2.39,
6/1/19,1.7,2.38,
7/1/19,1.8,2.4,
8/1/19,1.8,2.13,
9/1/19,1.7,2.04,
10/1/19,1.8,1.83,
11/1/19,2,1.55,
12/1/19,2.3,1.55,
1/1/20,2.5,1.55,
2/1/20,2.3,1.58,
3/1/20,1.5,0.65,
4/1/20,0.4,0.05,
5/1/20,0.2,0.05,4.53
6/1/20,0.7,0.08,1.84
7/1/20,1,0.09,5.51
8/1/20,1.3,0.1,7.01
9/1/20,1.4,0.09,-3.92
10/1/20,1.2,0.09,-2.77
11/1/20,1.1,0.09,10.75
12/1/20,1.3,0.09,3.71
1/1/21,1.4,0.09,-1.11
2/1/21,1.7,0.08,2.61
3/1/21,2.7,0.07,4.24
4/1/21,4.2,0.07,5.24
5/1/21,4.9,0.06,0.55
6/1/21,5.3,0.08,2.22
7/1/21,5.3,0.1,2.28
8/1/21,5.2,0.09,2.9
9/1/21,5.4,0.08,-4.76
10/1/21,6.2,0.08,6.91
11/1/21,6.8,0.08,-0.83
12/1/21,7.1,0.08,4.36
1/1/22,7.5,0.08,-5.26
2/1/22,7.9,0.08,-3.14
3/1/22,8.6,0.2,3.58
4/1/22,8.2,0.33,-8.8
5/1/22,8.6,0.77,0.01
6/1/22,9.1,1.21,-8.39
7/1/22,8.5,1.68,9.11
8/1/22,8,2.33,-4.24
9/1/22,8.2,2.56,-9.34
10/1/22,7.7,3.08,7.99
11/1/22,7.1,3.78,5.38
12/1/22,6.5,4.1,-5.9
1/1/23,6.4,4.33,6.18
2/1/23,6,4.57,-2.61
3/1/23,5,4.65,3.51
4/1/23,4.9,4.83,1.46
5/1/23,4,5.06,0.25
6/1/23,3,5.08,6.47
7/1/23,3.2,5.12,3.11
8/1/23,3.7,5.33,-1.77
9/1/23,3.7,5.33,-4.87
10/1/23,3.24,5.33,-2.2
11/1/23,3.14,5.33,8.92
12/1/23,3.4,5.33,4.42
1/1/24,3.1,5.33,1.59
2/1/24,3.2,5.33,5.17
3/1/24,3.5,5.33,3.1
4/1/24,3.4,5.33,-4.16
5/1/24,3.3,5.33,4.8
6/1/24,3.1,5.33,3.47
