team,Total_Goals,Goals_First,Goals_Second,HTotal_Goals,HGoals_First,HGoals_Second,squad_value_m,logo_url
Arsenal,56,20,36,21,7,14,740,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Arsenal%20FC.png
Aston Villa,38,14,24,28,14,14,365,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Aston%20Villa.png
Bournemouth,41,21,20,41,19,22,295,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/AFC%20Bournemouth.png
Brentford,39,16,23,34,15,19,260,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Brentford%20FC.png
Brighton,35,12,23,33,17,16,385,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Brighton%20%26%20Hove%20Albion.png
Burnley,29,13,16,49,27,22,247,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Burnley%20FC.png
Chelsea,48,21,27,31,14,17,977,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Chelsea%20FC.png
Crystal Palace,29,14,15,32,14,18,250,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Crystal%20Palace.png
Everton,29,12,17,31,15,16,245,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Everton%20FC.png
Fulham,37,13,24,40,16,24,275,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Fulham%20FC.png
Leeds,37,19,18,46,15,31,321,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Leeds%20United.png
Liverpool,38,12,26,33,12,21,665,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Liverpool%20FC.png
Man City,52,30,22,25,7,18,1100,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Manchester%20City.png
Man United,48,20,28,37,12,25,835,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Manchester%20United.png
Newcastle,38,19,19,39,15,24,604,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Newcastle%20United.png
Nott'm Forest,22,6,16,38,18,20,230,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Nottingham%20Forest.png
Sunderland,25,9,16,33,15,18,327,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Sunderland%20AFC.png
Tottenham,34,14,20,41,21,20,747,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Tottenham%20Hotspur.png
West Ham,32,19,13,46,18,28,434,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/West%20Ham%20United.png
Wolves,18,10,8,47,23,24,372,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/England%20-%20Premier%20League/Wolverhampton%20Wanderers.png
