Date,PI_Growth
1930,-10.56338028
1931,-15.29808774
1932,-22.4435591
1933,-5.821917808
1934,10
1935,9.917355372
1936,16.69172932
1937,3.221649485
1938,-2.746566792
1939,1.412066752
1940,8.35443038
1941,20.79439252
1942,28.04642166
1943,20.01510574
1944,1.699181875
1945,0.247524752
1946,5.308641975
1947,1.055099648
1948,5.336426914
1949,-0.881057269
1950,8.166666667
1951,11.24807396
1952,6.325023084
1953,1.823708207
1954,-0.938166311
1955,6.672406371
1956,4.802259887
1957,3.311513285
1958,0.819977637
1959,5.249537893
1960,2.950474183
1961,1.876492665
1962,4.152712659
1963,3.247588424
1964,5.356586733
1965,4.374815253
1966,7.165109034
1967,5.734672304
1968,8.32291927
1969,7.891093678
1970,6.180496151
1971,4.914400806
1972,8.504511423
1973,8.333333333
1974,9.929772987
1975,8.750557124
1976,8.948087432
1977,8.852664577
1978,11.289022
1979,11.3549322
1980,11.03364938
1981,10.15487652
1982,4.825961392
1983,5.720292902
1984,9.004251817
1985,5.662157911
1986,4.721643346
1987,5.083011144
1988,6.076182231
1989,4.876307065
1990,4.493944847
1991,1.73144054
1992,3.756233701
1993,1.477202575
1994,2.468170165
1995,4.444255969
1996,5.209306103
1997,4.858752701
1998,7.070037908
1999,5.778220817
2000,8.569200273
2001,1.90362167
2002,0.249662222
2003,3.343001963
2004,5.097527784
2005,5.022929593
2006,7.22798726
2007,3.926124659
2008,0.419499827
2009,-4.310602061
2010,3.734798148
2011,5.34384683
2012,5.628114231
2013,0.79175412
2014,5.698734073
2015,6.398002575
2016,3.69229641
2017,3.967468175
2018,4.598326644
2019,5.545620082
2020,8.823302885
2021,8.446218523
