Customer,Expenditures
1,1272
2,1089
3,1169
4,1161
5,1286
6,1178
7,658
8,1685
9,587
10,1284
11,1786
12,1379
13,1617
14,1485
15,1609
16,1612
17,1290
18,715
19,1261
20,1249
21,931
22,1319
23,1246
24,1130
25,1271
26,1627
27,1625
28,1565
29,2026
30,1078
31,751
32,645
33,1351
34,1664
35,887
36,1091
37,1203
38,899
39,1165
40,1573
41,994
42,1937
43,1456
44,1166
45,1269
46,1289
47,1067
48,1625
49,805
50,1462
51,1653
52,1942
53,942
54,1713
55,1621
56,1472
57,1274
58,1378
59,1272
60,1142
61,1175
62,1412
63,1493
64,774
65,597
66,991
67,926
68,467
69,1578
70,1797
71,1798
72,1604
73,1586
74,1169
75,1375
76,1344
77,1436
78,2116
79,1321
80,1237
81,1665
82,1564
83,1127
84,1673
85,1094
86,1180
87,1781
88,1606
89,1185
90,1515
91,1383
92,1494
93,892
94,878
95,1487
96,1039
97,934
98,1153
99,1561
100,1389
