Instructor,Gender,Total_kj,Age,HR
Olivia,M,280,29,164
Olivia,M,279,31,158
Olivia,M,273,30,162
Olivia,M,271,31,167
Olivia,M,271,29,165
Olivia,M,265,27,165
Olivia,M,260,26,159
Olivia,M,252,30,157
Olivia,F,243,21,173
Olivia,M,240,26,165
Olivia,M,239,25,155
Olivia,F,237,25,166
Olivia,M,227,25,169
Olivia,M,209,24,160
Olivia,F,209,25,166
Olivia,F,202,22,170
Olivia,F,190,20,158
Olivia,F,188,24,161
Olivia,F,184,23,163
Olivia,F,172,23,163
Olivia,F,165,21,166
Olivia,M,160,21,158
Olivia,M,157,24,150
Olivia,F,147,18,161
Olivia,F,140,19,160
Olivia,F,126,18,160
Olivia,M,117,18,154
Olivia,F,92,18,159
Olivia,F,76,18,148
Olivia,F,40,18,151
Sam,M,226,34,158
Sam,M,223,32,157
Sam,F,200,28,165
Sam,M,170,37,143
Sam,M,167,32,147
Sam,M,163,33,139
Sam,M,158,36,147
Sam,M,150,38,143
Sam,F,148,36,153
Sam,F,143,35,151
Sam,F,140,36,145
Sam,F,138,33,148
Sam,M,135,43,130
Sam,M,129,38,141
Sam,F,120,37,142
Sam,F,117,37,143
Sam,M,113,42,135
Sam,F,112,38,142
Sam,F,105,38,147
Sam,F,98,38,133
Sam,F,96,38,141
Sam,F,91,39,131
Sam,M,87,41,129
Sam,M,85,41,131
Sam,F,78,38,133
Sam,F,72,42,136
Sam,M,65,44,128
Sam,F,43,45,127
Sam,F,42,43,132
Sam,M,27,45,122
Ben,M,306,29,165
Ben,M,302,30,165
Ben,M,301,29,159
Ben,M,287,26,174
Ben,M,277,25,173
Ben,M,252,21,173
Ben,M,249,27,165
Ben,M,245,27,158
Ben,M,325,27,174
Ben,M,231,22,164
Ben,M,228,22,162
Ben,M,225,22,161
Ben,M,218,24,159
Ben,F,218,21,169
Ben,M,215,23,165
Ben,M,214,23,154
Ben,M,213,23,165
Ben,M,210,23,157
Ben,M,205,19,161
Ben,F,205,18,168
Ben,M,196,22,153
Ben,F,195,18,168
Ben,F,195,22,164
Ben,F,192,21,163
Ben,F,184,19,166
Ben,F,180,19,165
Ben,F,176,18,166
Ben,F,170,20,162
Ben,F,168,18,161
Ben,M,166,19,160
