Date,TSLA,VTI,GBTC
11/29/21,378.996674,234.683456,47.18
11/30/21,381.58667,229.993912,46.220001
12/1/21,365,226.752625,44.869999
12/2/21,361.533325,230.437256,45.389999
12/3/21,338.323334,227.76738,41.849998
12/6/21,336.33667,230.69342,38.400002
12/7/21,350.583344,235.629242,40.099998
12/8/21,356.320007,236.643967,40.330002
12/9/21,334.600006,234.387894,37.099998
12/10/21,339.01001,235.983917,37.279999
12/13/21,322.136658,233.836197,35.41
12/14/21,319.503326,232.082535,36.700001
12/15/21,325.329987,235.658798,37.66
12/16/21,308.973328,233.018478,36.310001
12/17/21,310.856659,231.954453,34.419998
12/20/21,299.980011,228.693451,34.470001
12/21/21,312.843323,233.176086,36.529999
12/22/21,336.290009,235.481476,37
12/23/21,355.666656,237.107025,39.134998
12/27/21,364.646667,240.22052,39.290001
12/28/21,362.823334,239.726181,36.326
12/29/21,362.063324,239.864578,35.360001
12/30/21,356.779999,239.479004,35.389999
12/31/21,352.26001,238.717667,34.25
1/3/22,399.926666,240.230408,34.27
1/4/22,383.196655,239.775604,34.66
1/5/22,362.706665,234.574905,32.490002
1/6/22,354.899994,234.515579,31.940001
1/7/22,342.320007,233.447769,30.735001
1/10/22,352.706665,233.042374,30.17
1/11/22,354.799988,235.365891,31.15
1/12/22,368.73999,235.731705,31.950001
1/13/22,343.853333,232.281052,30.5
1/14/22,349.869995,232.370056,30.530001
1/18/22,343.503326,227.851578,28.57
1/19/22,331.883331,225.458862,28.02
1/20/22,332.089996,222.828857,29.02
1/21/22,314.633331,218.419144,25.59
1/24/22,310,219.82312,25.896999
1/25/22,306.133331,216.748199,25.43
1/26/22,312.470001,215.907776,25.440001
1/27/22,276.366669,214.306046,24.110001
1/28/22,282.116669,219.585831,25.735001
1/31/22,312.23999,224.252609,26.24
2/1/22,310.416656,225.963104,26.27
2/2/22,301.886658,227.456085,25.549999
2/3/22,297.046661,222.04776,24.629999
2/4/22,307.773346,223.520981,27.959999
2/7/22,302.446655,222.957382,30.57
2/8/22,307.333344,225.004044,31.35
2/9/22,310.666656,228.662338,32.080002
2/10/22,301.516663,224.78653,31
2/11/22,286.666656,220.42627,29.610001
2/14/22,291.920013,219.615494,29.450001
2/15/22,307.476654,223.520981,31.290001
2/16/22,307.796661,223.728592,31.120001
2/17/22,292.116669,218.646561,28.34
2/18/22,285.660004,216.8965,27.299999
2/22/22,273.843323,214.404938,25.93
2/23/22,254.679993,210.45993,25.629999
2/24/22,266.92334,214.147842,26.59
2/25/22,269.956665,218.913513,27.174999
2/28/22,290.143341,218.676208,29.389999
3/1/22,288.123322,215.265121,30.75
3/2/22,293.296661,219.348541,30.177
3/3/22,279.763336,217.677597,28.110001
3/4/22,279.429993,215.502426,26.129999
3/7/22,268.193329,208.858185,24.67
3/8/22,274.799988,207.68161,25.5
3/9/22,286.323334,213.445862,28.1
3/10/22,279.433319,212.486801,26.6
3/11/22,265.116669,209.599731,25.51
3/14/22,255.456665,207.533295,25.4
3/15/22,267.296661,211.863892,26.34
3/16/22,280.07666,217.163452,27.5
3/17/22,290.533325,220.070313,27.65
3/18/22,301.796661,222.640976,28.700001
3/21/22,307.053345,222.433365,27.690001
3/22/22,331.32666,225.162247,28.75
