DATE,Price
4/1/80,0.653
5/1/80,0.608
6/1/80,0.66
7/1/80,.
8/1/80,.
9/1/80,.
10/1/80,.
11/1/80,.
12/1/80,.
1/1/81,.
2/1/81,.
3/1/81,0.886
4/1/81,0.69
5/1/81,0.637
6/1/81,0.696
7/1/81,0.77
8/1/81,.
9/1/81,.
10/1/81,.
11/1/81,.
12/1/81,.
1/1/82,.
2/1/82,.
3/1/82,1.016
4/1/82,0.914
5/1/82,0.73
6/1/82,0.778
7/1/82,0.775
8/1/82,.
9/1/82,.
10/1/82,.
11/1/82,.
12/1/82,.
1/1/83,.
2/1/83,.
3/1/83,.
4/1/83,0.728
5/1/83,0.708
6/1/83,0.752
7/1/83,0.863
8/1/83,.
9/1/83,.
10/1/83,.
11/1/83,.
12/1/83,.
1/1/84,.
2/1/84,.
3/1/84,0.912
4/1/84,0.663
5/1/84,0.648
6/1/84,0.78
7/1/84,0.827
8/1/84,0.943
9/1/84,.
10/1/84,.
11/1/84,.
12/1/84,.
1/1/85,.
2/1/85,.
3/1/85,1.016
4/1/85,0.809
5/1/85,0.646
6/1/85,0.774
7/1/85,0.913
8/1/85,.
9/1/85,.
10/1/85,.
11/1/85,.
12/1/85,.
1/1/86,.
2/1/86,.
3/1/86,0.637
4/1/86,0.797
5/1/86,0.718
6/1/86,0.84
7/1/86,0.899
8/1/86,1.081
9/1/86,.
10/1/86,.
11/1/86,.
12/1/86,.
1/1/87,.
2/1/87,.
3/1/87,.
4/1/87,0.937
5/1/87,0.824
6/1/87,0.955
7/1/87,1.071
8/1/87,1.029
9/1/87,.
10/1/87,.
11/1/87,.
12/1/87,.
1/1/88,.
2/1/88,.
3/1/88,1.181
4/1/88,0.693
5/1/88,0.919
6/1/88,0.937
7/1/88,1.059
8/1/88,0.971
9/1/88,1.216
10/1/88,.
11/1/88,.
12/1/88,.
1/1/89,.
2/1/89,.
3/1/89,1.218
4/1/89,0.966
5/1/89,0.831
6/1/89,1.055
7/1/89,1.117
8/1/89,0.986
9/1/89,1.087
10/1/89,.
11/1/89,.
12/1/89,.
1/1/90,.
2/1/90,1.638
3/1/90,1.338
4/1/90,1.109
5/1/90,0.781
6/1/90,0.987
7/1/90,0.965
8/1/90,1.081
9/1/90,1.21
10/1/90,.
11/1/90,.
12/1/90,.
1/1/91,.
2/1/91,1.467
3/1/91,1.268
4/1/91,1.112
5/1/91,0.976
6/1/91,0.924
7/1/91,0.948
8/1/91,0.961
9/1/91,1.014
10/1/91,1.035
11/1/91,.
12/1/91,.
1/1/92,.
2/1/92,1.43
3/1/92,1.173
4/1/92,0.96
5/1/92,0.831
6/1/92,1.048
7/1/92,0.988
8/1/92,1.185
9/1/92,1.473
10/1/92,1.19
11/1/92,.
12/1/92,.
1/1/93,.
2/1/93,1.467
3/1/93,1.26
4/1/93,0.908
5/1/93,0.874
6/1/93,1.066
7/1/93,1.013
8/1/93,1.069
9/1/93,1.151
10/1/93,1.261
11/1/93,.
12/1/93,.
1/1/94,.
2/1/94,1.318
3/1/94,1.262
4/1/94,0.91
5/1/94,0.983
6/1/94,1.047
7/1/94,1.085
8/1/94,1.108
9/1/94,1.209
10/1/94,1.286
11/1/94,.
12/1/94,.
1/1/95,.
2/1/95,1.926
3/1/95,1.34
4/1/95,1.001
5/1/95,1.14
6/1/95,1.18
7/1/95,1.209
8/1/95,1.398
9/1/95,1.355
10/1/95,1.316
11/1/95,.
12/1/95,.
1/1/96,1.692
2/1/96,1.505
3/1/96,1.236
4/1/96,1.082
5/1/96,0.957
