Start_Date,End_Date,Duration_Seconds,Book_Cost,Texts_Day,Lefty,Wakeup_Saturday,Workout_Week,Perceived,Superpower,Sleep,Songs_Playlist,Recover_Energy
1/25/23 12:10,1/25/23 12:12,91,80,14,Yes,10:00 AM,5,Smart,Time Travel,Like somewhat,18,Going out with friends and having social interactions.
1/25/23 12:12,1/25/23 12:22,599,50,17,No,12:00 PM,2,Kind,Shape Shifter,Like a great deal,63,Going out with friends and having social interactions.
1/25/23 12:28,1/25/23 12:29,99,70,12,No,11:00 AM,4,Smart,Mind Control,Like somewhat,35,Going out with friends and having social interactions.
1/25/23 12:29,1/25/23 12:30,44,150,5,No,9:00 AM,6,Kind,Mind Control,Like a great deal,15,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:30,1/25/23 12:30,49,80,10,No,10:00 AM,6,Smart,Fly,Like a great deal,50,Going out with friends and having social interactions.
1/25/23 12:29,1/25/23 12:31,71,0,15,No,12:00 PM,2,Kind,Mind Control,Like a great deal,40,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:30,1/25/23 12:31,64,100,5,No,9:00 AM,5,Kind,Shape Shifter,Like somewhat,50,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:29,1/25/23 12:31,68,60,20,No,9:30 AM,1,Kind,Time Travel,Like a great deal,500,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:30,1/25/23 12:31,64,125,30,No,9:00 AM,6,Smart,Time Travel,Like a great deal,30,Going out with friends and having social interactions.
1/25/23 12:30,1/25/23 12:31,49,150,3,No,11:00 AM,6,Kind,Mind Control,Like a great deal,15,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:29,1/25/23 12:31,73,160,3,No,11:30 AM,1,Smart,Shape Shifter,Like somewhat,25,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:12,1/25/23 12:31,1095,75,4,No,12:00 AM,7,Kind,Time Travel,Like somewhat,100,"Staying home. Reading, playing a video game, or browsing my phone."
