DATE,RealMedianHHIncome,RealMedianPersonalIncome
1/1/84,56780,26390
1/1/85,57860,26970
1/1/86,60010,27830
1/1/87,60760,28220
1/1/88,61210,29080
1/1/89,62260,29840
1/1/90,61500,29540
1/1/91,59710,29110
1/1/92,59210,28800
1/1/93,58920,29100
1/1/94,59550,29430
1/1/95,61440,30250
1/1/96,62350,30900
1/1/97,63640,32260
1/1/98,65980,33850
1/1/99,67650,34220
1/1/00,67470,34570
1/1/01,66360,34470
1/1/02,65820,34330
1/1/03,65860,34470
1/1/04,65760,34430
1/1/05,66780,35070
1/1/06,67520,36140
1/1/07,68610,36370
1/1/08,66280,34930
1/1/09,65850,34570
1/1/10,64300,34160
1/1/11,63350,33650
1/1/12,63350,33510
1/1/13,65740,33950
1/1/14,64900,34780
1/1/15,68410,36610
1/1/16,70840,37310
1/1/17,72090,37690
1/1/18,73030,38960
1/1/19,78250,40980
1/1/20,76660,40420
1/1/21,76330,40460
1/1/22,74580,40480
