Day,Date,Calls,Revenue
1,11/2/05,43,33
2,11/3/05,41,39
3,11/6/05,42,37
4,11/8/05,37,37
5,11/9/05,40,28
6,11/11/05,40,17
7,11/14/05,34,18
8,11/16/05,44,42
9,11/18/05,43,36
10,11/20/05,46,43
11,11/24/05,38,34
12,11/27/05,49,46
13,11/29/05,41,25
14,12/1/05,44,30
15,12/2/05,41,20
16,12/4/05,40,29
17,12/6/05,40,33
18,12/7/05,26,11
19,12/9/05,37,23
20,12/10/05,40,35
21,12/12/05,43,43
22,12/14/05,31,27
23,12/16/05,36,41
24,12/18/05,37,24
25,12/20/05,32,62
26,12/23/05,39,21
27,12/25/05,44,37
28,12/26/05,38,31
29,12/28/05,46,45
30,1/6/06,35,48
31,1/7/06,45,50
32,1/9/06,44,45
33,1/11/06,44,41
34,1/12/06,37,27
35,1/14/06,41,38
36,1/16/06,40,37
37,1/19/06,44,51
38,1/20/06,40,37
39,1/22/06,41,81
40,1/27/06,49,30
41,1/29/06,42,39
42,1/31/06,33,40
43,2/1/06,35,26
44,2/3/06,41,35
45,2/4/06,37,35
46,2/7/06,42,24
47,2/8/06,45,32
48,2/11/06,45,26
49,2/13/06,36,23
50,2/15/06,46,39
51,2/21/06,42,27
52,2/23/06,36,36
53,2/24/06,43,39
54,2/26/06,40,40
55,2/28/06,43,28
56,3/1/06,41,35
57,3/3/06,41,42
58,3/4/06,36,40
59,3/6/06,40,43
60,3/8/06,43,40
61,3/10/06,43,29
62,3/12/06,43,22
63,3/14/06,44,30
64,3/15/06,42,25
65,3/17/06,44,24
66,3/19/06,45,38
67,3/20/06,40,43
68,3/22/06,40,28
69,3/24/06,43,43
70,3/26/06,40,30
71,3/30/06,37,23
72,3/31/06,46,43
73,4/2/06,35,43
74,4/6/06,45,42
75,4/7/06,42,51
76,4/9/06,47,38
77,4/11/06,34,31
78,4/14/06,43,50
79,4/16/06,38,43
80,4/19/06,29,35
