country,iso2c,year,GDP_Pcap,Population,Inflation
Brazil,BR,1960,232.998762450445,73092515,NA
Brazil,BR,1961,229.336766423598,75330008,NA
Brazil,BR,1962,247.834299715922,77599218,NA
Brazil,BR,1963,291.404006118712,79915555,NA
Brazil,BR,1964,254.838581035491,82262794,NA
Brazil,BR,1965,265.475397633938,84623747,NA
Brazil,BR,1966,325.173107406638,86979283,NA
Brazil,BR,1967,348.021102794167,89323288,NA
Brazil,BR,1968,370.180411753128,91659246,NA
Brazil,BR,1969,395.441384632115,94000381,NA
Brazil,BR,1970,439.220916221935,96369875,NA
Brazil,BR,1971,494.80274991997,98766288,NA
Brazil,BR,1972,577.451537235053,101194394,NA
Brazil,BR,1973,806.354512747851,103666904,NA
Brazil,BR,1974,1034.16442979806,106167372,NA
Brazil,BR,1975,1188.6195317366,108700515,NA
Brazil,BR,1976,1376.3479281208,111286504,NA
Brazil,BR,1977,1547.6942060653,113939886,NA
Brazil,BR,1978,1716.70772767288,116664382,NA
Brazil,BR,1979,1853.01969086922,119447303,NA
Brazil,BR,1980,1941.25953805961,122288383,NA
Brazil,BR,1981,2061.34995420275,125168060,101.725072957927
Brazil,BR,1982,2118.56410810781,128065095,100.54335919485
Brazil,BR,1983,1448.00973115761,130977370,135.027682230472
Brazil,BR,1984,1406.68979969815,133888775,192.121733132051
Brazil,BR,1985,1287.61240473129,136783180,225.989665211895
Brazil,BR,1986,1545.92842461268,139643355,147.142826237605
Brazil,BR,1987,1667.18756959757,142466264,228.336162575513
Brazil,BR,1988,1781.81787555997,145253973,629.114509120897
Brazil,BR,1989,2344.73068725577,148003411,1430.7237251472
Brazil,BR,1990,2592.62716607932,150706446,2947.73277248299
Brazil,BR,1991,2234.36268750579,153336445,432.786661926461
Brazil,BR,1992,2105.10774751013,155900790,951.962053052818
Brazil,BR,1993,2324.49977472726,158440875,1927.38079016026
Brazil,BR,1994,3263.56262238902,160980472,2075.88839757325
Brazil,BR,1995,4704.96154593883,163515328,66.0070335542481
Brazil,BR,1996,5121.90540734464,166037122,15.7576656002606
Brazil,BR,1997,5240.12879590406,168546707,6.92671251629151
Brazil,BR,1998,5049.76611943426,171039804,3.19507629280056
Brazil,BR,1999,3456.42359484227,173486281,4.85844749902668
Brazil,BR,2000,3726.81142036099,175873720,7.04414105947266
Brazil,BR,2001,3142.27793491612,178211881,6.84035902487525
Brazil,BR,2002,2824.679625276,180476685,8.4501643770833
Brazil,BR,2003,3056.62496707108,182629278,14.7149197228147
Brazil,BR,2004,3623.24799633539,184722043,6.59718509985962
Brazil,BR,2005,4773.24894374558,186797334,6.86953720898965
Brazil,BR,2006,5866.09622382995,188820682,4.18356812896902
Brazil,BR,2007,7323.03362855509,190779453,3.64127299102654
Brazil,BR,2008,8801.59948420962,192672317,5.67859390284171
Brazil,BR,2009,8570.02256200077,194517549,4.88803479876804
Brazil,BR,2010,11249.464543278,196353492,5.03872690108066
Brazil,BR,2011,13200.7850823986,198185302,6.63644962213085
Brazil,BR,2012,12327.3174365132,199977707,5.40349914037009
Brazil,BR,2013,12258.5031683848,201721767,6.204310666401
Brazil,BR,2014,12071.1582132348,203459650,6.32904015516142
Brazil,BR,2015,8783.22598387817,205188205,9.02990102416129
Brazil,BR,2016,8680.76879182018,206859578,8.73914352329393
Brazil,BR,2017,9896.68478335903,208504960,3.44637335032672
Brazil,BR,2018,9121.08340257783,210166592,3.66485028376724
Brazil,BR,2019,8845.25911841876,211782878,3.73297621216894
Brazil,BR,2020,6794.48915877166,213196304,3.21176803803379
Brazil,BR,2021,7507.16097080234,214326223,8.30165975585676
Brazil,BR,2022,NA,NA,9.2801060895687
Brazil,BRA,1987,NA,NA,NA
Brazil,BRA,1988,NA,NA,NA
Brazil,BRA,1989,NA,NA,NA
Brazil,BRA,1990,NA,NA,NA
Brazil,BRA,1991,NA,NA,NA
Brazil,BRA,1992,NA,NA,NA
Brazil,BRA,1993,NA,NA,NA
Brazil,BRA,1994,NA,NA,NA
Brazil,BRA,1995,NA,NA,NA
Brazil,BRA,1996,NA,NA,NA
Brazil,BRA,1997,NA,NA,NA
Brazil,BRA,1998,NA,NA,NA
Brazil,BRA,1999,NA,NA,NA
Brazil,BRA,2000,NA,NA,NA
Brazil,BRA,2001,NA,NA,NA
Brazil,BRA,2002,NA,NA,NA
Brazil,BRA,2003,NA,NA,NA
Brazil,BRA,2004,NA,NA,NA
Brazil,BRA,2005,NA,NA,NA
Brazil,BRA,2006,NA,NA,NA
Brazil,BRA,2007,NA,NA,NA
Brazil,BRA,2008,NA,NA,NA
Brazil,BRA,2009,NA,NA,NA
Brazil,BRA,2010,NA,NA,NA
Brazil,BRA,2011,NA,NA,NA
Brazil,BRA,2012,NA,NA,NA
Brazil,BRA,2013,NA,NA,NA
Brazil,BRA,2014,NA,NA,NA
Brazil,BRA,2015,NA,NA,NA
Brazil,BRA,2016,NA,NA,NA
Brazil,BRA,2017,NA,NA,NA
Brazil,BRA,2018,NA,NA,NA
Brazil,BRA,2019,NA,NA,NA
Brazil,BRA,2020,NA,NA,NA
Canada,CA,1960,2259.25051088642,17909356,1.35869565217391
Canada,CA,1961,2240.43303945853,18271000,1.01876675603215
Canada,CA,1962,2268.58534607907,18614000,1.06157112526541
Canada,CA,1963,2374.49844764883,18964000,1.6281512605042
Canada,CA,1964,2555.11114601309,19325000,1.91214470284239
Canada,CA,1965,2770.36180408145,19678000,2.33265720081134
Canada,CA,1966,3047.10614707958,20048000,3.81565906838456
Canada,CA,1967,3217.15929360795,20412000,3.57995226730307
Canada,CA,1968,3462.67887195794,20744000,4.05529953917053
Canada,CA,1969,3763.95337938417,21028000,4.56155890168291
Canada,CA,1970,4121.93281373693,21324000,3.34603981363828
Canada,CA,1971,4520.1628781257,21962032,2.70491803278688
Canada,CA,1972,5089.58790204875,22218463,4.9880287310455
Canada,CA,1973,5838.66089434012,22491777,7.48764728240213
Canada,CA,1974,7033.01102090736,22807969,10.997171145686
Canada,CA,1975,7511.21134279151,23143275,10.672188595094
Canada,CA,1976,8809.26466044933,23449808,7.54173862982152
Canada,CA,1977,8919.05746104275,23725843,7.97644539614562
Canada,CA,1978,9123.69133364505,23963203,8.97372335151215
Canada,CA,1979,10043.6609586669,24201544,9.1446769790719
Canada,CA,1980,11170.5639723393,24515667,10.1292205085452
Canada,CA,1981,12337.4662493804,24819915,12.4716124148373
Canada,CA,1982,12481.8747874298,25116942,10.7689718997139
Canada,CA,1983,13425.1224888294,25366451,5.86358802977366
Canada,CA,1984,13877.9170763469,25607053,4.30477830391736
Canada,CA,1985,14114.8077599664,25842116,3.96203054065208
Canada,CA,1986,14461.0692388787,26100278,4.19478629085617
Canada,CA,1987,16308.9669663579,26446601,4.3561087122174
Canada,CA,1988,18936.9641024997,26791747,4.02823414871611
Canada,CA,1989,20715.631483174,27276781,4.98362189985959
Canada,CA,1990,21448.3619600057,27691138,4.78047693336305
Canada,CA,1991,21768.3432941828,28037420,5.62586408593004
Canada,CA,1992,20879.8483300891,28371264,1.49013290374545
Canada,CA,1993,20121.1612532855,28684764,1.86507936507936
Canada,CA,1994,19935.3814579208,29000663,0.165562913907281
Canada,CA,1995,20613.7878829216,29302311,2.14876033057852
Canada,CA,1996,21227.3475315896,29610218,1.57053112507137
Canada,CA,1997,21901.5628548392,29905948,1.62121638084528
Canada,CA,1998,21024.5850687045,30155173,0.995942456658074
Canada,CA,1999,22315.2466731545,30401286,1.73484295105918
Canada,CA,2000,24271.0020563821,30685730,2.71943995691972
Canada,CA,2001,23822.0601178964,31020902,2.52512013979907
Canada,CA,2002,24255.3385818322,31360079,2.25839440940856
