country,iso2c,year,GDP_Pcap,Population,Inflation
Brazil,BR,2021,7507.16097080234,214326223,8.30165975585676
Canada,CA,2021,51987.9390529728,38246108,3.39519318527532
Chile,CL,2021,16265.0959767147,19493184,4.52456838259136
Colombia,CO,2021,6104.1367093039,51516562,3.49505757399453
Costa Rica,CR,2021,12472.4437294954,5153957,1.72647755109235
France,FR,2021,43658.9789781222,67749632,1.64233141038392
"Iran, Islamic Rep.",IR,2021,4091.20918670534,87923432,43.3890162681516
Japan,JP,2021,39312.6603730693,125681593,-0.233352779398279
Mexico,MX,2021,10045.6805004963,126705138,5.68920847683764
Nigeria,NG,2021,2065.74906750923,213401323,16.9528457221608
Saudi Arabia,SA,2021,23185.8707917797,35950396,3.06328988941548
South Africa,ZA,2021,7055.04477598783,59392255,4.61167217803201
Switzerland,CH,2021,91991.6004583563,8703405,0.581814168489875
Thailand,TH,2021,7066.19054595323,71601103,1.23039541318382
United Kingdom,GB,2021,46510.2827819127,67326569,2.51837109614205
United States,US,2021,70248.6290002242,331893745,4.69785886363739
