"gameweek","player_name","club","position","opponent","home_away","minutes","total_points","bonus","defensive_contribution","goals_scored","assists","yellow_cards","red_cards","clean_sheets","goals_conceded","saves","expected_goals","expected_assists"
1,"Calafiori","ARS","DEF","MUN","A",71,13,2,4,1,0,1,0,1,0,0,"0.91","0.01"
1,"Clarke","ARS","DEF","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Gabriel Magalhães","ARS","DEF","MUN","A",90,6,0,7,0,0,0,0,1,0,0,"0.00","0.00"
1,"J.Timber","ARS","DEF","MUN","A",19,0,0,3,0,0,1,0,0,0,0,"0.00","0.00"
1,"Kacurri","ARS","DEF","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Kiwior","ARS","DEF","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Lewis-Skelly","ARS","DEF","MUN","A",18,0,0,1,0,0,1,0,0,0,0,"0.00","0.00"
1,"Mosquera","ARS","DEF","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Nichols","ARS","DEF","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Saliba","ARS","DEF","MUN","A",90,9,1,14,0,0,0,0,1,0,0,"0.00","0.00"
1,"White","ARS","DEF","MUN","A",70,6,0,8,0,0,0,0,1,0,0,"0.01","0.01"
1,"Gabriel Jesus","ARS","FWD","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Gyökeres","ARS","FWD","MUN","A",59,1,0,2,0,0,0,0,0,0,0,"0.00","0.06"
1,"Havertz","ARS","FWD","MUN","A",30,1,0,3,0,0,0,0,0,0,0,"0.00","0.01"
1,"Arrizabalaga","ARS","GK","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Hein","ARS","GK","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Raya","ARS","GK","MUN","A",90,10,3,0,0,0,1,0,1,0,7,"0.00","0.00"
1,"Setford","ARS","GK","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Fábio Vieira","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Gabriel Martinelli","ARS","MID","MUN","A",59,1,0,4,0,0,0,0,0,0,0,"0.02","0.01"
1,"Kabia","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Madueke","ARS","MID","MUN","A",30,1,0,0,0,0,0,0,0,0,0,"0.00","0.02"
1,"Merino","ARS","MID","MUN","A",7,1,0,1,0,0,0,0,0,0,0,"0.00","0.00"
1,"Nwaneri","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Nørgaard","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Rice","ARS","MID","MUN","A",82,6,0,4,0,1,0,0,1,0,0,"0.13","0.01"
1,"Saka","ARS","MID","MUN","A",90,3,0,5,0,0,0,0,1,0,0,"0.15","0.09"
1,"Sambi","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Trossard","ARS","MID","MUN","A",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Zubimendi","ARS","MID","MUN","A",90,5,0,12,0,0,0,0,1,0,0,"0.00","0.01"
1,"Ødegaard","ARS","MID","MUN","A",90,5,0,14,0,0,0,0,1,0,0,"0.09","0.29"
1,"A.García","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Alex Moreno","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Bogarde","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Cash","AVL","DEF","NEW","H",90,8,0,11,0,0,0,0,1,0,0,"0.00","0.00"
1,"Digne","AVL","DEF","NEW","H",90,6,0,7,0,0,0,0,1,0,0,"0.00","0.01"
1,"Konsa","AVL","DEF","NEW","H",65,3,0,3,0,0,0,1,1,0,0,"0.00","0.01"
1,"Maatsen","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Mings","AVL","DEF","NEW","H",90,6,0,5,0,0,0,0,1,0,0,"0.00","0.00"
1,"Pau","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Sousa","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Yasin","AVL","DEF","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Redmond","AVL","FWD","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Watkins","AVL","FWD","NEW","H",90,2,0,5,0,0,0,0,1,0,0,"0.12","0.01"
1,"Gauci","AVL","GK","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"M.Bizot","AVL","GK","NEW","H",90,7,0,0,0,0,0,0,1,0,3,"0.00","0.00"
1,"Marschall","AVL","GK","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Martinez","AVL","GK","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Wright","AVL","GK","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Bailey","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Barkley","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Barrenechea","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Broggio","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Buendía","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Dendoncker","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Dobbin","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Iling Jr","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Jimoh-Aloba","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Kamara","AVL","MID","NEW","H",90,2,0,11,0,0,1,0,1,0,0,"0.05","0.03"
1,"Malen","AVL","MID","NEW","H",6,1,0,0,0,0,0,0,0,0,0,"0.03","0.00"
1,"McGinn","AVL","MID","NEW","H",83,3,0,7,0,0,0,0,1,0,0,"0.00","0.09"
1,"Onana","AVL","MID","NEW","H",90,5,0,14,0,0,0,0,1,0,0,"0.00","0.01"
1,"Rogers","AVL","MID","NEW","H",90,3,0,7,0,0,0,0,1,0,0,"0.00","0.05"
1,"Tielemans","AVL","MID","NEW","H",90,3,0,7,0,0,0,0,1,0,0,"0.00","0.01"
1,"Young","AVL","MID","NEW","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Boscagli","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Cashin","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Coppola","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"De Cuyper","BHA","DEF","FUL","H",90,2,0,6,0,0,0,0,0,1,0,"0.00","0.09"
1,"Dunk","BHA","DEF","FUL","H",90,2,0,8,0,0,0,0,0,1,0,"0.09","0.00"
1,"Estupiñan","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"F.Kadıoğlu","BHA","DEF","FUL","H",21,0,0,1,0,0,1,0,0,1,0,"0.00","0.00"
1,"Igor Julio","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Lamptey","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Slater","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Tasker","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
1,"Van Hecke","BHA","DEF","FUL","H",90,2,0,8,0,0,0,0,0,1,0,"0.00","0.13"
1,"Veltman","BHA","DEF","FUL","H",0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00"
