date,Stock,Return
1/3/20,AAPL,-0.00976954
1/6/20,AAPL,0.007936685
1/7/20,AAPL,-0.004714194
1/8/20,AAPL,0.015958317
1/9/20,AAPL,0.021018303
1/10/20,AAPL,0.002258224
1/13/20,AAPL,0.021139285
1/14/20,AAPL,-0.013595248
1/15/20,AAPL,-0.004294601
1/16/20,AAPL,0.012448549
1/17/20,AAPL,0.011010195
1/21/20,AAPL,-0.006799923
1/22/20,AAPL,0.003563167
1/23/20,AAPL,0.004804253
1/24/20,AAPL,-0.002886065
1/27/20,AAPL,-0.029846323
1/28/20,AAPL,0.027896642
1/29/20,AAPL,0.020716153
1/30/20,AAPL,-0.001450099
1/31/20,AAPL,-0.045351747
2/3/20,AAPL,-0.002750008
2/4/20,AAPL,0.03248037
2/5/20,AAPL,0.008121213
2/6/20,AAPL,0.01162914
2/7/20,AAPL,-0.013685858
2/10/20,AAPL,0.004738277
2/11/20,AAPL,-0.006051659
2/12/20,AAPL,0.023470243
2/13/20,AAPL,-0.007146622
2/14/20,AAPL,0.000246328
2/18/20,AAPL,-0.018480242
2/19/20,AAPL,0.014378793
2/20/20,AAPL,-0.010311842
2/21/20,AAPL,-0.022895333
2/24/20,AAPL,-0.048665572
2/25/20,AAPL,-0.034458988
2/26/20,AAPL,0.015739143
2/27/20,AAPL,-0.067602566
2/28/20,AAPL,-0.000585167
3/2/20,AAPL,0.089018336
3/3/20,AAPL,-0.032274664
3/4/20,AAPL,0.045340995
3/5/20,AAPL,-0.0329748
3/6/20,AAPL,-0.013368875
3/9/20,AAPL,-0.082395364
3/10/20,AAPL,0.069546257
3/11/20,AAPL,-0.035347974
3/12/20,AAPL,-0.103977747
3/13/20,AAPL,0.113157382
3/16/20,AAPL,-0.137708061
3/17/20,AAPL,0.043030904
3/18/20,AAPL,-0.024784567
3/19/20,AAPL,-0.007691637
3/20/20,AAPL,-0.065590226
3/23/20,AAPL,-0.021473059
3/24/20,AAPL,0.095605984
3/25/20,AAPL,-0.005524082
3/26/20,AAPL,0.051285194
3/27/20,AAPL,-0.042283797
3/30/20,AAPL,0.028138306
3/31/20,AAPL,-0.002042801
4/1/20,AAPL,-0.054051846
4/2/20,AAPL,0.016548977
4/3/20,AAPL,-0.01447565
4/6/20,AAPL,0.083639901
4/7/20,AAPL,-0.01164976
4/8/20,AAPL,0.025272542
4/9/20,AAPL,0.00719002
4/13/20,AAPL,0.019437591
4/14/20,AAPL,0.049269169
4/15/20,AAPL,-0.009169104
4/16/20,AAPL,0.007914381
4/17/20,AAPL,-0.013661612
4/20/20,AAPL,-0.020975171
4/21/20,AAPL,-0.031398076
4/22/20,AAPL,0.028396483
4/23/20,AAPL,-0.003883035
4/24/20,AAPL,0.028460712
4/27/20,AAPL,0.000706635
4/28/20,AAPL,-0.016342026
4/29/20,AAPL,0.0323171
4/30/20,AAPL,0.020876709
5/1/20,AAPL,-0.016230215
5/4/20,AAPL,0.014049487
5/5/20,AAPL,0.014897392
5/6/20,AAPL,0.01026432
5/7/20,AAPL,0.010291783
5/8/20,AAPL,0.023522913
5/11/20,AAPL,0.015612761
5/12/20,AAPL,-0.011493983
5/13/20,AAPL,-0.012147695
5/14/20,AAPL,0.006124648
5/15/20,AAPL,-0.005929622
5/18/20,AAPL,0.023287957
5/19/20,AAPL,-0.005795301
5/20/20,AAPL,0.019261522
5/21/20,AAPL,-0.007483488
5/22/20,AAPL,0.00641791
5/26/20,AAPL,-0.006796529
5/27/20,AAPL,0.004347446
5/28/20,AAPL,0.00043993
5/29/20,AAPL,-0.000974358
6/1/20,AAPL,0.012222779
6/2/20,AAPL,0.004618755
6/3/20,AAPL,0.005489974
6/4/20,AAPL,-0.008649468
6/5/20,AAPL,0.028083071
6/8/20,AAPL,0.00589497
6/9/20,AAPL,0.031089708
6/10/20,AAPL,0.025402123
6/11/20,AAPL,-0.049201136
6/12/20,AAPL,0.008596268
6/15/20,AAPL,0.01229133
