OBS,SALES
2003M01,7923
2003M02,7939
2003M03,9946
2003M04,9990
2003M05,10519
2003M06,9847
2003M07,10132
2003M08,11165
2003M09,10032
2003M10,10862
2003M11,12192
2003M12,17720
2004M01,8663
2004M02,9113
2004M03,10866
2004M04,10943
2004M05,10967
2004M06,10368
2004M07,10767
2004M08,11353
2004M09,10556
2004M10,11671
2004M11,12797
2004M12,18904
2005M01,8941
2005M02,9514
2005M03,11765
2005M04,11568
2005M05,11529
2005M06,11509
2005M07,11303
2005M08,12190
2005M09,11179
2005M10,12433
2005M11,13699
2005M12,20351
2006M01,9513
2006M02,9845
2006M03,12175
2006M04,12519
2006M05,12223
2006M06,12193
2006M07,12117
2006M08,12953
2006M09,12445
2006M10,12957
2006M11,14371
2006M12,21348
2007M01,10324
2007M02,10604
2007M03,13544
2007M04,12750
2007M05,13411
2007M06,12800
2007M07,12538
2007M08,13742
2007M09,12572
2007M10,13221
2007M11,15321
2007M12,20887
2008M01,10524
2008M02,11108
2008M03,13298
2008M04,12673
2008M05,13795
2008M06,12601
2008M07,12830
2008M08,13754
2008M09,11915
2008M10,12608
2008M11,14168
2008M12,18701
2009M01,10245
2009M02,10572
2009M03,11798
2009M04,12259
2009M05,12809
2009M06,11585
2009M07,12122
2009M08,13046
2009M09,11843
2009M10,13108
2009M11,13934
2009M12,18893
2010M01,10037
2010M02,10655
2010M03,13153
2010M04,12935
2010M05,13180
2010M06,12221
2010M07,12749
2010M08,13211
2010M09,12349
2010M10,13195
2010M11,15099
2010M12,20027
2011M01,10232
