OBS,changetreasury
1953M05,9.541984733
1953M06,2.43902439
1953M07,-6.462585034
1953M08,1.818181818
1953M09,-3.214285714
1953M10,-10.33210332
1953M11,-0.411522634
1953M12,-4.132231405
1954M01,-6.465517241
1954M02,-5.99078341
1954M03,-5.392156863
1954M04,-3.10880829
1954M05,2.673796791
1954M06,0
1954M07,-3.645833333
1954M08,2.702702703
1954M09,3.157894737
1954M10,3.06122449
1954M11,3.465346535
1954M12,3.349282297
1955M01,7.407407407
1955M02,2.586206897
1955M03,4.201680672
1955M04,2.822580645
1955M05,0.392156863
1955M06,1.171875
1955M07,5.019305019
1955M08,5.147058824
1955M09,-0.34965035
1955M10,-3.157894737
1955M11,1.811594203
1955M12,4.270462633
1956M01,-3.071672355
1956M02,-3.521126761
1956M03,6.934306569
1956M04,9.215017065
1956M05,-3.75
1956M06,-3.571428571
1956M07,5.050505051
1956M08,9.294871795
1956M09,1.759530792
1956M10,-2.017291066
1956M11,4.705882353
1956M12,3.93258427
1957M01,-6.216216216
1957M02,-2.305475504
1957M03,2.064896755
1957M04,2.023121387
1957M05,3.116147309
1957M06,5.21978022
1957M07,4.438642298
1957M08,0
1957M09,0.75
1957M10,1.240694789
1957M11,-8.823529412
1957M12,-17.20430108
1958M01,-6.493506494
1958M02,-3.472222222
1958M03,-5.035971223
1958M04,-6.818181818
1958M05,-2.032520325
1958M06,2.074688797
1958M07,12.60162602
1958M08,18.77256318
1958M09,12.15805471
1958M10,2.43902439
1958M11,-2.116402116
1958M12,3.243243243
1959M01,4.97382199
1959M02,-1.246882793
1959M03,0.757575758
1959M04,3.258145363
1959M05,5.582524272
1959M06,3.448275862
1959M07,1.777777778
1959M08,-0.218340611
1959M09,7.221006565
1959M10,-3.673469388
1959M11,0.63559322
1959M12,5.473684211
1960M01,-1.796407186
1960M02,-4.674796748
1960M03,-8.102345416
1960M04,-0.464037123
1960M05,4.662004662
1960M06,-8.240534521
1960M07,-8.009708738
1960M08,-4.485488127
1960M09,-0.276243094
1960M10,4.155124654
1960M11,1.329787234
1960M12,-3.674540682
1961M01,0
1961M02,-0.272479564
1961M03,-1.639344262
1961M04,-0.833333333
1961M05,-2.801120448
1961M06,9.798270893
1961M07,0.787401575
1961M08,3.125
1961M09,-1.515151515
1961M10,-2.564102564
1961M11,0.526315789
1961M12,2.356020942
1962M01,0.767263427
1962M02,-1.269035533
1962M03,-5.398457584
1962M04,-2.173913043
1962M05,1.666666667
1962M06,-0.546448087
1962M07,4.395604396
1962M08,-2.368421053
1962M09,-0.269541779
1962M10,-1.621621622
1962M11,-1.098901099
1962M12,-1.111111111
1963M01,0.561797753
1963M02,2.234636872
1963M03,0.546448087
1963M04,1.630434783
1963M05,-0.534759358
1963M06,2.419354839
1963M07,2.099737533
1963M08,0
1963M09,1.799485861
1963M10,0.252525253
1963M11,1.007556675
1963M12,0.748129676
1964M01,0.742574257
1964M02,-0.982800983
1964M03,2.729528536
1964M04,0.241545894
1964M05,-2.409638554
1964M06,-0.740740741
1964M07,0.248756219
1964M08,0.496277916
1964M09,0.740740741
1964M10,-0.245098039
1964M11,-0.737100737
1964M12,1.237623762
1965M01,0.244498778
1965M02,1.219512195
1965M03,0
1965M04,0
1965M05,0
1965M06,0
1965M07,0
1965M08,1.204819277
1965M09,1.19047619
1965M10,2.117647059
1965M11,2.764976959
1965M12,5.829596413
1966M01,2.966101695
1966M02,2.469135802
1966M03,-1.204819277
1966M04,-1.829268293
1966M05,1.242236025
1966M06,1.63599182
1966M07,4.024144869
1966M08,6.382978723
1966M09,0
1966M10,-4.181818182
1966M11,1.707779886
1966M12,-6.71641791
1967M01,-6
1967M02,0.85106383
1967M03,-4.219409283
1967M04,-0.660792952
1967M05,5.321507761
1967M06,5.473684211
1967M07,4.391217565
1967M08,1.529636711
1967M09,1.694915254
1967M10,3.148148148
1967M11,3.770197487
1967M12,-0.519031142
1968M01,-3.652173913
1968M02,0.902527076
1968M03,3.041144902
1968M04,-1.215277778
1968M05,6.151142355
1968M06,-3.145695364
1968M07,-4.273504274
1968M08,-1.785714286
1968M09,-0.363636364
1968M10,1.277372263
1968M11,1.981981982
1968M12,8.127208481
1969M01,2.124183007
1969M02,1.44
1969M03,1.104100946
1969M04,-1.716068643
1969M05,3.80952381
1969M06,3.211009174
1969M07,3.851851852
1969M08,0.285306705
1969M09,7.681365576
1969M10,-0.792602378
1969M11,0.266311585
1969M12,5.710491368
1970M01,2.638190955
1970M02,-4.283965728
1970M03,-7.800511509
1970M04,4.022191401
1970M05,6.266666667
1970M06,-1.505646173
1970M07,-3.312101911
1970M08,-0.263504611
1970M09,-3.698811096
1970M10,-2.331961591
