period,deliveries
2016 Q1,14.8
2016 Q2,14.4
2016 Q3,24.5
2016 Q4,22.2
2017 Q1,25
2017 Q2,22
2017 Q3,26.2
2017 Q4,29.9
2018 Q1,30
2018 Q2,40.7
2018 Q3,83.5
2018 Q4,90.7
2019 Q1,63
2019 Q2,95.2
2019 Q3,97
2019 Q4,112
2020 Q1,88.4
2020 Q2,90.7
2020 Q3,139.3
2020 Q4,180.6
2021 Q1,184.82
2021 Q2,201.25
2021 Q3,241.3
2021 Q4,308.6
2022 Q1,310.5
2022 Q2,254.7
2022 Q3,343.83
2022 Q4,405.28
2023 Q1,442.9
2023 Q2,466.1
2023 Q3,435.059
2023 Q4,484.587
2024 Q1,386.81
2024 Q2,443.956
2024 Q3,462.89
2024 Q4,495.57
2025 Q1,336.681
2025 Q2,384.122
